data		veg			alveo		canale
2000-09-17	24.77395%	74.07326%	1.15279%
2001-06-07	16.07681%	15.43539%	68.48780%
2001-12-09	18.81178%	79.89753%	1.29068%
2002-05-18	22.30126%	70.30240%	7.39635%
2002-06-12	27.79397%	66.46823%	5.73779%
2003-06-22	22.77944%	76.86823%	0.35233%
2003-11-29	18.66352%	44.34585%	36.99063%
2004-10-14	19.99669%	71.76691%	8.23640%
2005-08-30	25.30159%	71.86404%	2.83437%
2006-07-16	27.88762%	71.23833%	0.87405%
2007-09-21	28.87172%	64.45436%	6.67391%
2008-07-05	41.43599%	55.25210%	3.31190%
2009-07-08	23.77524%	57.16287%	19.06189%
2010-09-29	29.78401%	56.08692%	14.12907%
2012-08-01	32.87700%	63.79954%	3.32347%
2013-09-05	28.47127%	70.43298%	1.09575%
2014-09-08	27.80681%	67.11067%	5.08252%
2014-10-31	19.55365%	68.18382%	12.26253%
2015-09-11	29.48249%	70.26780%	0.24971%
2015-09-29	23.47468%	63.37524%	13.15008%
2016-09-13	23.27958%	71.27115%	5.44927%
2017-04-21	22.90571%	74.09484%	2.99945%


