data	tr_1	tr_2	tr_3	tr_4	tr_5	tr_6	tr_7	tr_8	tr_9	tr_10	tr_11	tr_12	tr_13	tr_14	tr_15	tr_16	tr_17	tr_18	tr_19	tr_20	tr_21	tr_22	tr_23
2000-09-17	367.96	387.78	457.04	456.36	488.27	649.97	790.5	904.28	923.86	772.48	654.14	314.95	561.62	820.26	1327.86	867.12	1045.17	794.34	752.22	629.45	743.77	nan	nan
2001-06-07	nan	nan	453.08	464.85	506.71	668.82	826.89	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	727.41	489.68	288.31
2002-05-18	366.88	390.93	nan	nan	nan	652.3	820.9	856.85	906.71	761	598.2	283.66	526.35	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2002-06-12	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	801.94	1289.74	856.58	1053.73	799.02	737.54	619.08	717.53	486.12	282.82
2003-06-22	383.02	411.05	470.48	463.13	507.99	683.91	836.33	889.09	920.65	783.11	nan	nan	521.5	793.94	1274.78	853.28	1093.64	838.83	740.13	644.42	716.56	505.08	280.28
2004-10-14	nan	440.21	496.22	480.21	528.33	720.32	849.61	899.99	967.65	823.23	639.49	331.68	548.79	816.09	1034.27	854.7	924.12	815.48	759.43	646.1	723.79	513.53	296.54
2005-08-30	380.44	417.81	458.08	463.43	507.72	668.14	829.32	880.04	949.07	797.86	608.92	297.71	524.5	798.94	927.64	739.31	872.56	785.29	729.62	629.7	653.3	464.18	232.67
2006-07-16	373.21	413.57	457.54	465.96	509.45	686.31	837.74	885.96	930.83	801.26	599.9	302.56	527.23	809.26	951.07	746.71	889.64	824.64	744.76	637.82	nan	450.52	227.71
2007-09-21	374.67	414.12	451.45	446.86	500.78	664.24	830.44	879	947.28	801.54	605.53	311.5	522.39	795.86	910.83	733.99	856.6	787.42	716.12	629.37	670.81	457.64	221.9
2008-07-05	349.45	381.89	421.07	436.75	484.69	650.05	807.62	869.84	932.44	796.3	576.93	301.92	515.84	801.69	884.43	720.66	844.2	764.25	706.31	606.28	625.17	429.9	166.37
2009-07-08	nan	nan	431.26	433.31	497.55	668.52	820.81	882.94	959.07	808.63	603.74	312.65	530.71	808.68	907.52	733.73	854.1	792.1	726.17	636.14	660.59	476.18	216.63
2010-09-29	351.94	399.1	437.61	436.45	498.13	669.87	819.22	885.03	949.78	815.01	603.92	315.33	536.44	799.69	899.12	742.7	873.57	805.51	730.17	628.03	677.64	499.95	222.22
2011-10-02	358.14	405.31	435.72	426.24	497.11	676.32	821.65	908.23	959.97	813.45	600.08	312.65	543.13	806.6	916.26	758.67	901.4	834.07	749.7	651.7	692.68	514.44	240.38
2012-08-01	318.89	378.35	429.32	412.19	486.41	664.84	795.74	900.8	947.46	805.51	566.83	304.73	532.42	779.53	874.03	741.54	867.93	808.39	732.21	625.27	655.14	471.55	189.71
2013-09-05	338.95	398.47	436.71	423.81	498	693.67	820.34	918.9	959.79	815.43	584.71	315.33	543.81	784.61	898.32	754	878.63	826.48	739.9	637.4	674.25	483.22	207.44
2014-09-08	327.2	388.92	427.92	415.83	494.5	697.12	814.54	945.11	961.93	808.63	577.56	326.95	545.52	781.53	899.58	762.16	887.4	839.4	737.54	646.93	692.51	506.57	244.6
2014-10-31	nan	nan	nan	nan	nan	736.84	839.61	959.64	992.37	844.21	614.13	352.37	565.56	821.07	nan	nan	nan	nan	nan	nan	nan	nan	nan
2015-08-13	nan	nan	nan	nan	nan	742.47	836.94	961.48	984.86	826.55	593.96	346.88	558.62	801.05	nan	nan	nan	nan	nan	nan	nan	nan	nan
2015-09-12	369.56	406.17	439.08	427.26	501.69	720.84	830.49	959.47	967.85	818.21	583.33	345.91	555.38	790.97	924.08	779.51	909.03	861.7	747.66	668.74	702.4	519.25	254.82
2015-10-22	378.19	425.16	446.66	433.77	508.31	723.34	833.44	964.63	974.92	826.46	598.54	357.04	559.57	798.08	938.06	787.19	913.57	867.7	752.96	675.73	720.75	535.22	275.65
2016-09-13	363.84	405.03	438.2	427.71	501.38	720.07	829.62	960.04	971.03	812.22	582.85	356.07	555.81	792.19	939.82	782.76	913.52	869.55	752.05	676.73	697.48	510.05	258.15
2017-04-21	365.25	402.45	440.36	428.16	502.36	724.04	829.91	959.78	972.14	819.47	586.58	357.78	556.11	795.34	964.5	791	921.19	871.55	749.82	678.11	699.9	518.44	271.99
2017-06-13	363.61	404.77	442.13	430.85	507.57	726.01	830.04	963.08	969.84	810.02	582.89	356.7	558.66	796.15	963.24	786.56	921.59	874.53	749.78	680.15	700.24	519.43	265.14
2018-06-15	nan	nan	nan	nan	nan	nan	834.42	968.01	972.5	811.45	588.89	358.79	559.02	784.7	nan	nan	nan	nan	nan	nan	nan	nan	nan
2018-09-16	347.21	385.69	433.19	426.09	502.01	720.64	827.46	968.39	970.55	803.53	578.44	353.69	558.26	783.9	958.35	782.46	914.8	871.69	738.24	681.79	690.64	497.57	252

