tratto	data	larghezza
1	2000-09-17	367.96
2	2000-09-17	387.78
3	2000-09-17	457.04
4	2000-09-17	456.36
5	2000-09-17	488.27
6	2000-09-17	649.97
7	2000-09-17	790.5
8	2000-09-17	904.28
9	2000-09-17	923.86
10	2000-09-17	772.48
11	2000-09-17	654.14
12	2000-09-17	314.95
13	2000-09-17	561.62
14	2000-09-17	820.26
15	2000-09-17	1327.86
16	2000-09-17	867.12
17	2000-09-17	1045.17
18	2000-09-17	794.34
19	2000-09-17	752.22
20	2000-09-17	629.45
21	2000-09-17	743.77
22	2000-09-17	nan
23	2000-09-17	nan
1	2001-06-07	nan
2	2001-06-07	nan
3	2001-06-07	453.08
4	2001-06-07	464.85
5	2001-06-07	506.71
6	2001-06-07	668.82
7	2001-06-07	826.89
8	2001-06-07	nan
9	2001-06-07	nan
10	2001-06-07	nan
11	2001-06-07	nan
12	2001-06-07	nan
13	2001-06-07	nan
14	2001-06-07	nan
15	2001-06-07	nan
16	2001-06-07	nan
17	2001-06-07	nan
18	2001-06-07	nan
19	2001-06-07	nan
20	2001-06-07	nan
21	2001-06-07	727.41
22	2001-06-07	489.68
23	2001-06-07	288.31
1	2002-05-18	366.88
2	2002-05-18	390.93
3	2002-05-18	nan
4	2002-05-18	nan
5	2002-05-18	nan
6	2002-05-18	652.3
7	2002-05-18	820.9
8	2002-05-18	856.85
9	2002-05-18	906.71
10	2002-05-18	761
11	2002-05-18	598.2
12	2002-05-18	283.66
13	2002-05-18	526.35
14	2002-05-18	nan
15	2002-05-18	nan
16	2002-05-18	nan
17	2002-05-18	nan
18	2002-05-18	nan
19	2002-05-18	nan
20	2002-05-18	nan
21	2002-05-18	nan
22	2002-05-18	nan
23	2002-05-18	nan
1	2002-06-12	nan
2	2002-06-12	nan
3	2002-06-12	nan
4	2002-06-12	nan
5	2002-06-12	nan
6	2002-06-12	nan
7	2002-06-12	nan
8	2002-06-12	nan
9	2002-06-12	nan
10	2002-06-12	nan
11	2002-06-12	nan
12	2002-06-12	nan
13	2002-06-12	nan
14	2002-06-12	801.94
15	2002-06-12	1289.74
16	2002-06-12	856.58
17	2002-06-12	1053.73
18	2002-06-12	799.02
19	2002-06-12	737.54
20	2002-06-12	619.08
21	2002-06-12	717.53
22	2002-06-12	486.12
23	2002-06-12	282.82
1	2003-06-22	383.02
2	2003-06-22	411.05
3	2003-06-22	470.48
4	2003-06-22	463.13
5	2003-06-22	507.99
6	2003-06-22	683.91
7	2003-06-22	836.33
8	2003-06-22	889.09
9	2003-06-22	920.65
10	2003-06-22	783.11
11	2003-06-22	nan
12	2003-06-22	nan
13	2003-06-22	521.5
14	2003-06-22	793.94
15	2003-06-22	1274.78
16	2003-06-22	853.28
17	2003-06-22	1093.64
18	2003-06-22	838.83
19	2003-06-22	740.13
