tratto	data	cambiamento
1-4	2000-09-17	nan
5-8	2000-09-17	nan
10-12	2000-09-17	nan
13-16	2000-09-17	nan
17-20	2000-09-17	nan
21-23	2000-09-17	nan
1-4	2001-06-07	0.062
5-8	2001-06-07	0.103
10-12	2001-06-07	nan
13-16	2001-06-07	nan
17-20	2001-06-07	nan
21-23	2001-06-07	0.133
1-4	2002-05-18	0.139
5-8	2002-05-18	0.218
10-12	2002-05-18	7.483
13-16	2002-05-18	0.059
17-20	2002-05-18	nan
21-23	2002-05-18	nan
1-4	2002-06-12	nan
5-8	2002-06-12	nan
10-12	2002-06-12	nan
13-16	2002-06-12	0.28
17-20	2002-06-12	0.208
21-23	2002-06-12	0.136
1-4	2003-06-22	0.133
5-8	2003-06-22	0.131
10-12	2003-06-22	0.02
13-16	2003-06-22	0.136
17-20	2003-06-22	0.056
21-23	2003-06-22	0.049
1-4	2004-10-14	0.032
5-8	2004-10-14	0.027
10-12	2004-10-14	0.053
13-16	2004-10-14	0.034
17-20	2004-10-14	0.143
21-23	2004-10-14	0.083
1-4	2005-08-30	0.835
5-8	2005-08-30	0.494
10-12	2005-08-30	1.148
13-16	2005-08-30	0.248
17-20	2005-08-30	0.609
21-23	2005-08-30	0.297
1-4	2006-07-16	0.324
5-8	2006-07-16	0.127
10-12	2006-07-16	0.286
13-16	2006-07-16	0.107
17-20	2006-07-16	0.091
21-23	2006-07-16	0.115
1-4	2007-09-21	0.318
5-8	2007-09-21	0.357
10-12	2007-09-21	0.644
13-16	2007-09-21	0.379
17-20	2007-09-21	1.194
21-23	2007-09-21	1.247
1-4	2008-07-05	1.16
5-8	2008-07-05	0.967
10-12	2008-07-05	1.196
13-16	2008-07-05	0.843
17-20	2008-07-05	1.567
21-23	2008-07-05	0.83
1-4	2009-07-08	0.051
5-8	2009-07-08	0.116
10-12	2009-07-08	0.037
13-16	2009-07-08	0.042
17-20	2009-07-08	0.1
21-23	2009-07-08	0.026
1-4	2010-09-29	0.682
5-8	2010-09-29	0.287
10-12	2010-09-29	0.276
13-16	2010-09-29	0.427
17-20	2010-09-29	0.334
21-23	2010-09-29	0.204
1-4	2011-10-02	0.173
5-8	2011-10-02	0.178
10-12	2011-10-02	0.135
13-16	2011-10-02	0.095
17-20	2011-10-02	0.061
21-23	2011-10-02	0.084
1-4	2012-08-01	1.21
5-8	2012-08-01	0.844
10-12	2012-08-01	0.537
13-16	2012-08-01	0.422
17-20	2012-08-01	0.759
21-23	2012-08-01	0.587
1-4	2013-09-05	0.072
5-8	2013-09-05	0.054
10-12	2013-09-05	0.008
13-16	2013-09-05	0.036
17-20	2013-09-05	0.041
21-23	2013-09-05	0.057
1-4	2014-09-08	0.895
5-8	2014-09-08	0.542
10-12	2014-09-08	0.28
13-16	2014-09-08	0.128
17-20	2014-09-08	0.179
21-23	2014-09-08	0.166
1-4	2014-10-31	nan
5-8	2014-10-31	0.056
10-12	2014-10-31	0.016
13-16	2014-10-31	0.011
17-20	2014-10-31	nan
21-23	2014-10-31	nan
1-4	2015-08-13	nan
5-8	2015-08-13	0.463
10-12	2015-08-13	0.349
13-16	2015-08-13	0.388
17-20	2015-08-13	nan
21-23	2015-08-13	nan
1-4	2015-09-12	0.223
5-8	2015-09-12	0.211
10-12	2015-09-12	0.179
13-16	2015-09-12	0.317
17-20	2015-09-12	0.292
21-23	2015-09-12	0.119
1-4	2015-10-22	0.053
5-8	2015-10-22	0.084
10-12	2015-10-22	0.039
13-16	2015-10-22	0.021
17-20	2015-10-22	0.059
21-23	2015-10-22	0.019
1-4	2016-09-13	0.646
5-8	2016-09-13	0.35
10-12	2016-09-13	0.17
13-16	2016-09-13	0.25
17-20	2016-09-13	0.209
21-23	2016-09-13	0.212
1-4	2017-04-21	0.39
5-8	2017-04-21	0.042
10-12	2017-04-21	0.02
13-16	2017-04-21	0.062
17-20	2017-04-21	0.08
21-23	2017-04-21	0.025
1-4	2017-06-13	0.097
5-8	2017-06-13	0.098
10-12	2017-06-13	0.177
13-16	2017-06-13	0.049
17-20	2017-06-13	0.07
21-23	2017-06-13	0.056
1-4	2018-06-15	nan
5-8	2018-06-15	0.616
10-12	2018-06-15	0.183
13-16	2018-06-15	0.288
17-20	2018-06-15	nan
21-23	2018-06-15	nan
1-4	2018-09-16	0.763
5-8	2018-09-16	0.44
10-12	2018-09-16	0.172
13-16	2018-09-16	0.46
17-20	2018-09-16	0.677
21-23	2018-09-16	0.405
