tratto	data	cambiamento
1	2000-09-17	nan
2	2000-09-17	nan
3	2000-09-17	nan
4	2000-09-17	nan
5	2000-09-17	nan
6	2000-09-17	nan
7	2000-09-17	nan
8	2000-09-17	nan
9	2000-09-17	nan
10	2000-09-17	nan
11	2000-09-17	nan
12	2000-09-17	nan
13	2000-09-17	nan
14	2000-09-17	nan
15	2000-09-17	nan
16	2000-09-17	nan
17	2000-09-17	nan
18	2000-09-17	nan
19	2000-09-17	nan
20	2000-09-17	nan
21	2000-09-17	nan
22	2000-09-17	nan
23	2000-09-17	nan
1	2001-06-07	nan
2	2001-06-07	nan
3	2001-06-07	0.084
4	2001-06-07	0.178
5	2001-06-07	0.031
6	2001-06-07	0.098
7	2001-06-07	0.122
8	2001-06-07	0.124
9	2001-06-07	nan
10	2001-06-07	nan
11	2001-06-07	nan
12	2001-06-07	nan
13	2001-06-07	nan
14	2001-06-07	nan
15	2001-06-07	nan
16	2001-06-07	nan
17	2001-06-07	nan
18	2001-06-07	nan
19	2001-06-07	nan
20	2001-06-07	nan
21	2001-06-07	0.133
22	2001-06-07	nan
23	2001-06-07	nan
1	2002-05-18	0.121
2	2002-05-18	0.467
3	2002-05-18	nan
4	2002-05-18	nan
5	2002-05-18	nan
6	2002-05-18	2.0
7	2002-05-18	0.184
8	2002-05-18	0.274
9	2002-05-18	nan
10	2002-05-18	nan
11	2002-05-18	6.281
12	2002-05-18	39.5
13	2002-05-18	1.04
14	2002-05-18	0.793
15	2002-05-18	nan
16	2002-05-18	nan
17	2002-05-18	nan
18	2002-05-18	nan
19	2002-05-18	nan
20	2002-05-18	nan
21	2002-05-18	nan
22	2002-05-18	nan
23	2002-05-18	nan
1	2002-06-12	nan
2	2002-06-12	nan
3	2002-06-12	nan
4	2002-06-12	nan
5	2002-06-12	nan
6	2002-06-12	nan
7	2002-06-12	nan
8	2002-06-12	nan
9	2002-06-12	nan
10	2002-06-12	nan
11	2002-06-12	nan
12	2002-06-12	nan
13	2002-06-12	nan
14	2002-06-12	0.07
15	2002-06-12	0.315
16	2002-06-12	0.165
17	2002-06-12	0.134
18	2002-06-12	0.619
19	2002-06-12	0.203
20	2002-06-12	0.905
21	2002-06-12	0.119
22	2002-06-12	0.266
23	2002-06-12	0.097
1	2003-06-22	0.089
2	2003-06-22	0.065
3	2003-06-22	0.085
4	2003-06-22	0.159
5	2003-06-22	0.557
6	2003-06-22	0.241
7	2003-06-22	0.066
8	2003-06-22	0.11
9	2003-06-22	nan
10	2003-06-22	0.247
11	2003-06-22	nan
12	2003-06-22	nan
13	2003-06-22	0.094
14	2003-06-22	0.399
15	2003-06-22	0.069
16	2003-06-22	0.093
17	2003-06-22	0.032
18	2003-06-22	0.254
19	2003-06-22	0.02
20	2003-06-22	0.105
21	2003-06-22	0.034
22	2003-06-22	0.071
23	2003-06-22	0.368
1	2004-10-14	nan
2	2004-10-14	0.0
3	2004-10-14	0.011
4	2004-10-14	0.117
5	2004-10-14	0.015
6	2004-10-14	0.056
7	2004-10-14	0.025
8	2004-10-14	0.031
9	2004-10-14	nan
10	2004-10-14	0.014
11	2004-10-14	0.044
12	2004-10-14	0.025
13	2004-10-14	0.013
14	2004-10-14	0.171
15	2004-10-14	0.019
16	2004-10-14	0.057
17	2004-10-14	0.041
18	2004-10-14	0.523
19	2004-10-14	0.217
20	2004-10-14	0.623
21	2004-10-14	0.068
22	2004-10-14	0.14
23	2004-10-14	0.187
1	2005-08-30	0.811
2	2005-08-30	3.964
3	2005-08-30	0.327
4	2005-08-30	0.755
5	2005-08-30	1.84
6	2005-08-30	0.067
7	2005-08-30	0.551
8	2005-08-30	1.061
9	2005-08-30	nan
10	2005-08-30	3.368
11	2005-08-30	0.89
12	2005-08-30	4.333
13	2005-08-30	0.839
14	2005-08-30	0.883
15	2005-08-30	0.222
16	2005-08-30	0.128
17	2005-08-30	1.06
18	2005-08-30	0.481
19	2005-08-30	0.497
20	2005-08-30	1.0
21	2005-08-30	0.281
22	2005-08-30	0.592
23	2005-08-30	0.112
1	2006-07-16	1.117
2	2006-07-16	0.294
3	2006-07-16	0.217
4	2006-07-16	0.176
5	2006-07-16	0.438
6	2006-07-16	0.227
7	2006-07-16	0.09
8	2006-07-16	0.111
9	2006-07-16	nan
10	2006-07-16	0.291
11	2006-07-16	0.266
12	2006-07-16	1.333
13	2006-07-16	0.134
14	2006-07-16	0.127
15	2006-07-16	0.069
16	2006-07-16	0.181
17	2006-07-16	0.081
18	2006-07-16	0.022
19	2006-07-16	0.057
20	2006-07-16	0.845
21	2006-07-16	nan
22	2006-07-16	1.054
23	2006-07-16	1.091
1	2007-09-21	0.482
2	2007-09-21	0.238
3	2007-09-21	0.367
4	2007-09-21	0.213
5	2007-09-21	1.371
6	2007-09-21	0.634
7	2007-09-21	0.193
8	2007-09-21	0.352
9	2007-09-21	nan
