tratto	data	cambiamento
1-4	2007-09-21	0.1488292994
5-8	2007-09-21	0.0476783959
10-12	2007-09-21	0.1206795457
13-16	2007-09-21	0.0875821698
17-20	2007-09-21	0.0100463881
21-23	2007-09-21	0.1632008672
1-4	2008-07-05	0.1205443443
5-8	2008-07-05	0.0266005751
10-12	2008-07-05	0.0293943766
13-16	2008-07-05	0.0651974859
17-20	2008-07-05	0.0451886924
21-23	2008-07-05	0.0221792064
1-4	2009-07-08	0.3342492652
5-8	2009-07-08	0.4033605284
10-12	2009-07-08	0.4103535821
13-16	2009-07-08	0.5950639871
17-20	2009-07-08	0.5838295959
21-23	2009-07-08	0.5333982875
1-4	2010-09-29	0.2503095172
5-8	2010-09-29	0.1853104339
10-12	2010-09-29	0.1225091759
13-16	2010-09-29	0.1070450694
17-20	2010-09-29	0.228709529
21-23	2010-09-29	0.1667994912
1-4	2011-10-02	0.4574229355
5-8	2011-10-02	0.2960848464
10-12	2011-10-02	0.2391283231
13-16	2011-10-02	0.455678202
17-20	2011-10-02	0.6358529183
21-23	2011-10-02	0.399315435
1-4	2012-08-01	0.0413882793
5-8	2012-08-01	0.0275106085
10-12	2012-08-01	0.0302187292
13-16	2012-08-01	0.0613915025
17-20	2012-08-01	0.0460996757
21-23	2012-08-01	0.0459145337
1-4	2013-09-05	0.5555266988
5-8	2013-09-05	0.5274146024
10-12	2013-09-05	0.3742690605
13-16	2013-09-05	0.462163748
17-20	2013-09-05	0.4903464005
21-23	2013-09-05	0.2587588472
1-4	2014-09-08	0.0817999536
5-8	2014-09-08	0.1353631624
10-12	2014-09-08	0.0431453016
13-16	2014-09-08	0.2619096996
17-20	2014-09-08	0.2689238493
21-23	2014-09-08	0.1836402542
1-4	2014-10-31	nan
5-8	2014-10-31	0.5415760811
10-12	2014-10-31	0.669311264
13-16	2014-10-31	0.7354420344
17-20	2014-10-31	nan
21-23	2014-10-31	nan
1-4	2015-08-13	nan
5-8	2015-08-13	0.0809450751
10-12	2015-08-13	0.1796098695
13-16	2015-08-13	0.1325291181
17-20	2015-08-13	nan
21-23	2015-08-13	nan
1-4	2015-09-12	0.2669014198
5-8	2015-09-12	0.3189630915
10-12	2015-09-12	0.1728205931
13-16	2015-09-12	0.2853811246
17-20	2015-09-12	0.2773039039
21-23	2015-09-12	0.321235769
1-4	2015-10-22	0.2494994031
5-8	2015-10-22	0.1253710184
10-12	2015-10-22	0.1246330731
13-16	2015-10-22	0.1907422117
17-20	2015-10-22	0.072458001
21-23	2015-10-22	0.2651745948
1-4	2016-09-13	0.0710025591
5-8	2016-09-13	0.1734191343
10-12	2016-09-13	0.1281148548
13-16	2016-09-13	0.128404421
17-20	2016-09-13	0.2242639367
21-23	2016-09-13	0.1146075895
1-4	2017-04-21	0.1593890988
5-8	2017-04-21	0.1841149012
10-12	2017-04-21	0.2364235015
13-16	2017-04-21	0.2146701984
17-20	2017-04-21	0.2535436107
21-23	2017-04-21	0.3512451917
1-4	2017-06-13	0.4262492136
5-8	2017-06-13	0.2131481952
10-12	2017-06-13	0.0895546804
13-16	2017-06-13	0.3235049449
17-20	2017-06-13	0.3721067557
21-23	2017-06-13	0.2714657657
1-4	2018-06-15	nan
5-8	2018-06-15	0.2480462626
10-12	2018-06-15	0.2163853866
13-16	2018-06-15	0.2671525541
17-20	2018-06-15	nan
21-23	2018-06-15	nan
1-4	2018-09-16	0.0472344476
5-8	2018-09-16	0.476191909
10-12	2018-09-16	0.3084321293
13-16	2018-09-16	0.3498289125
17-20	2018-09-16	0.083515429
21-23	2018-09-16	0.0269074464
