tratto	data	cambiamento
1	2007-09-21	0.223
2	2007-09-21	0.158
3	2007-09-21	0.134
4	2007-09-21	0.072
5	2007-09-21	0.039
6	2007-09-21	0.075
7	2007-09-21	0.055
8	2007-09-21	0.036
9	2007-09-21	nan
10	2007-09-21	0.1
11	2007-09-21	0.123
12	2007-09-21	0.179
13	2007-09-21	0.091
14	2007-09-21	0.112
15	2007-09-21	0.057
16	2007-09-21	0.095
17	2007-09-21	0.028
18	2007-09-21	0.0
19	2007-09-21	0.039
20	2007-09-21	0.0
21	2007-09-21	0.087
22	2007-09-21	0.194
23	2007-09-21	0.0
1	2008-07-05	0.104
2	2008-07-05	0.121
3	2008-07-05	0.641
4	2008-07-05	0.0
5	2008-07-05	0.035
6	2008-07-05	0.009
7	2008-07-05	0.048
8	2008-07-05	0.0
9	2008-07-05	nan
10	2008-07-05	0.003
11	2008-07-05	0.043
12	2008-07-05	0.087
13	2008-07-05	0.168
14	2008-07-05	0.071
15	2008-07-05	0.013
16	2008-07-05	0.029
17	2008-07-05	0.039
18	2008-07-05	0.043
19	2008-07-05	0.056
20	2008-07-05	0.045
21	2008-07-05	nan
22	2008-07-05	0.021
23	2008-07-05	0.038
1	2009-07-08	nan
2	2009-07-08	nan
3	2009-07-08	0.305
4	2009-07-08	0.348
5	2009-07-08	0.374
6	2009-07-08	0.679
7	2009-07-08	0.382
8	2009-07-08	0.347
9	2009-07-08	nan
10	2009-07-08	0.347
11	2009-07-08	0.433
12	2009-07-08	0.603
13	2009-07-08	0.633
14	2009-07-08	0.537
15	2009-07-08	0.497
16	2009-07-08	0.714
17	2009-07-08	0.61
18	2009-07-08	0.67
19	2009-07-08	0.419
20	2009-07-08	0.602
21	2009-07-08	0.451
22	2009-07-08	0.659
23	2009-07-08	0.663
1	2010-09-29	0.236
2	2010-09-29	0.414
3	2010-09-29	0.128
4	2010-09-29	0.217
5	2010-09-29	0.226
6	2010-09-29	0.105
7	2010-09-29	0.177
8	2010-09-29	0.15
9	2010-09-29	nan
10	2010-09-29	0.126
11	2010-09-29	0.106
12	2010-09-29	0.255
13	2010-09-29	0.044
14	2010-09-29	0.067
15	2010-09-29	0.105
16	2010-09-29	0.205
17	2010-09-29	0.246
18	2010-09-29	0.432
19	2010-09-29	0.114
20	2010-09-29	0.161
21	2010-09-29	0.128
22	2010-09-29	0.283
23	2010-09-29	0.406
