tratto	data	cambiamento
1-4	2007-09-21	0.0
5-8	2007-09-21	0.2121744652
10-12	2007-09-21	0.1756179287
13-16	2007-09-21	0.0369296927
17-20	2007-09-21	0.0
21-23	2007-09-21	0.0
1-4	2008-07-05	0.0481616808
5-8	2008-07-05	0.0208620385
10-12	2008-07-05	0.0223597276
13-16	2008-07-05	0.0696431762
17-20	2008-07-05	0.0089512861
21-23	2008-07-05	0.0615008363
1-4	2009-07-08	0.0
5-8	2009-07-08	0.1540390304
10-12	2009-07-08	0.0364849437
13-16	2009-07-08	0.3683615495
17-20	2009-07-08	0.2046822252
21-23	2009-07-08	0.2712797214
1-4	2010-09-29	0.0129467247
5-8	2010-09-29	0.1131566728
10-12	2010-09-29	0.0362246098
13-16	2010-09-29	0.0733067932
17-20	2010-09-29	0.1039303803
21-23	2010-09-29	0.0743663539
1-4	2011-10-02	0.3546505924
5-8	2011-10-02	0.2429108913
10-12	2011-10-02	0.1040192793
13-16	2011-10-02	0.1676151021
17-20	2011-10-02	0.381300814
21-23	2011-10-02	0.1467957896
1-4	2012-08-01	0.0240556738
5-8	2012-08-01	0.0659967395
10-12	2012-08-01	0.0334276331
13-16	2012-08-01	0.0340699928
17-20	2012-08-01	0.0184972116
21-23	2012-08-01	0.0159198401
1-4	2013-09-05	0.3463286376
5-8	2013-09-05	0.2775660951
10-12	2013-09-05	0.1297583946
13-16	2013-09-05	0.2076523381
17-20	2013-09-05	0.2647416717
21-23	2013-09-05	0.0648634394
1-4	2014-09-08	0.0539599774
5-8	2014-09-08	0.1238825409
10-12	2014-09-08	0.0344443705
13-16	2014-09-08	0.2665979552
17-20	2014-09-08	0.2815093942
21-23	2014-09-08	0.124862755
1-4	2014-10-31	nan
5-8	2014-10-31	0.209119396
10-12	2014-10-31	0.4063025058
13-16	2014-10-31	0.3475396989
17-20	2014-10-31	nan
21-23	2014-10-31	nan
1-4	2015-08-13	nan
5-8	2015-08-13	0.0811808213
10-12	2015-08-13	0.0224609308
13-16	2015-08-13	0.1786958912
17-20	2015-08-13	nan
21-23	2015-08-13	nan
1-4	2015-09-12	0.1678692436
5-8	2015-09-12	0.0203561146
10-12	2015-09-12	0.0749072736
13-16	2015-09-12	0.2172648015
17-20	2015-09-12	0.1471383777
21-23	2015-09-12	0.1169705096
1-4	2015-10-22	0.3017414548
5-8	2015-10-22	0.1846302002
10-12	2015-10-22	0.1419172468
13-16	2015-10-22	0.1878293088
17-20	2015-10-22	0.2275998318
21-23	2015-10-22	0.1390520425
1-4	2016-09-13	0.1564476597
5-8	2016-09-13	0.2373865983
10-12	2016-09-13	0.0759415062
13-16	2016-09-13	0.2149416707
17-20	2016-09-13	0.1870588623
21-23	2016-09-13	0.0527940424
1-4	2017-04-21	0.042485705
5-8	2017-04-21	0.0856170818
10-12	2017-04-21	0.0666282042
13-16	2017-04-21	0.0409757432
17-20	2017-04-21	0.0706929055
21-23	2017-04-21	0.0394678229
1-4	2017-06-13	0.0596152895
5-8	2017-06-13	0.0541520098
10-12	2017-06-13	0.0033627269
13-16	2017-06-13	0.0664784802
17-20	2017-06-13	0.1873006904
21-23	2017-06-13	0.1850634772
1-4	2018-06-15	nan
5-8	2018-06-15	0.0960608517
10-12	2018-06-15	0.0612235383
13-16	2018-06-15	0.1775618819
17-20	2018-06-15	nan
21-23	2018-06-15	nan
1-4	2018-09-16	0.0138564819
5-8	2018-09-16	0.0181386061
10-12	2018-09-16	0.0147719949
13-16	2018-09-16	0.3467237418
17-20	2018-09-16	0.032244133
21-23	2018-09-16	0.0
