tratto	data	cambiamento
1	2007-09-21	0.0
2	2007-09-21	nan
3	2007-09-21	0.0
4	2007-09-21	0.0
5	2007-09-21	nan
6	2007-09-21	nan
7	2007-09-21	0.212
8	2007-09-21	nan
9	2007-09-21	nan
10	2007-09-21	0.434
11	2007-09-21	0.0
12	2007-09-21	nan
13	2007-09-21	0.0
14	2007-09-21	0.008
15	2007-09-21	0.031
16	2007-09-21	0.143
17	2007-09-21	0.254
18	2007-09-21	0.0
19	2007-09-21	0.0
20	2007-09-21	0.0
21	2007-09-21	0.048
22	2007-09-21	0.0
23	2007-09-21	nan
1	2008-07-05	0.0
2	2008-07-05	0.06
3	2008-07-05	0.122
4	2008-07-05	0.019
5	2008-07-05	0.06
6	2008-07-05	0.0
7	2008-07-05	0.007
8	2008-07-05	0.035
9	2008-07-05	nan
10	2008-07-05	0.005
11	2008-07-05	0.027
12	2008-07-05	0.324
13	2008-07-05	0.111
14	2008-07-05	0.038
15	2008-07-05	0.082
16	2008-07-05	0.046
17	2008-07-05	0.0
18	2008-07-05	0.014
19	2008-07-05	0.0
20	2008-07-05	0.0
21	2008-07-05	0.064
22	2008-07-05	0.0
23	2008-07-05	nan
1	2009-07-08	nan
2	2009-07-08	nan
3	2009-07-08	0.0
4	2009-07-08	0.0
5	2009-07-08	0.046
6	2009-07-08	0.0
7	2009-07-08	0.125
8	2009-07-08	0.251
9	2009-07-08	nan
10	2009-07-08	0.029
11	2009-07-08	0.038
12	2009-07-08	nan
13	2009-07-08	0.333
14	2009-07-08	0.229
15	2009-07-08	0.444
16	2009-07-08	0.456
17	2009-07-08	0.081
18	2009-07-08	0.14
19	2009-07-08	0.218
20	2009-07-08	0.519
21	2009-07-08	0.27
22	2009-07-08	0.287
23	2009-07-08	nan
1	2010-09-29	0.0
2	2010-09-29	0.0
3	2010-09-29	0.0
4	2010-09-29	0.027
5	2010-09-29	0.162
6	2010-09-29	0.0
7	2010-09-29	0.11
8	2010-09-29	0.115
9	2010-09-29	nan
10	2010-09-29	0.031
11	2010-09-29	0.031
12	2010-09-29	0.266
13	2010-09-29	0.118
14	2010-09-29	0.026
15	2010-09-29	0.095
16	2010-09-29	0.072
17	2010-09-29	0.088
18	2010-09-29	0.208
19	2010-09-29	0.024
20	2010-09-29	0.146
21	2010-09-29	0.058
22	2010-09-29	0.134
23	2010-09-29	0.451
1	2011-10-02	0.375
2	2011-10-02	0.457
3	2011-10-02	0.061
4	2011-10-02	0.041
5	2011-10-02	0.152
6	2011-10-02	0.047
7	2011-10-02	0.362
8	2011-10-02	0.202
9	2011-10-02	nan
10	2011-10-02	0.078
11	2011-10-02	0.101
12	2011-10-02	0.481
13	2011-10-02	0.061
14	2011-10-02	0.183
15	2011-10-02	0.12
16	2011-10-02	0.289
17	2011-10-02	0.517
18	2011-10-02	0.415
19	2011-10-02	0.321
20	2011-10-02	0.323
21	2011-10-02	0.123
22	2011-10-02	0.209
23	2011-10-02	0.481
1	2012-08-01	0.061
2	2012-08-01	0.012
3	2012-08-01	0.018
4	2012-08-01	0.01
5	2012-08-01	0.0
6	2012-08-01	0.015
7	2012-08-01	0.123
8	2012-08-01	0.025
9	2012-08-01	nan
10	2012-08-01	0.004
11	2012-08-01	0.072
12	2012-08-01	0.037
13	2012-08-01	0.013
14	2012-08-01	0.016
