tratto	data	cambiamento
1-4	2007-09-21	0.0211488682
5-8	2007-09-21	0.0087761513
10-12	2007-09-21	0.0
13-16	2007-09-21	0.045534222
17-20	2007-09-21	0.0116327801
21-23	2007-09-21	0.0
1-4	2008-07-05	0.0
5-8	2008-07-05	0.0
10-12	2008-07-05	0.0
13-16	2008-07-05	0.0234236311
17-20	2008-07-05	0.0344528659
21-23	2008-07-05	0.0548484928
1-4	2009-07-08	0.0
5-8	2009-07-08	0.0206210628
10-12	2009-07-08	0.0045788034
13-16	2009-07-08	0.1571854643
17-20	2009-07-08	0.1867309824
21-23	2009-07-08	0.1907909287
1-4	2010-09-29	0.0
5-8	2010-09-29	0.0
10-12	2010-09-29	0.0227904918
13-16	2010-09-29	0.0312470501
17-20	2010-09-29	0.1058478768
21-23	2010-09-29	0.0523772292
1-4	2011-10-02	0.2554755217
5-8	2011-10-02	0.1050730919
10-12	2011-10-02	0.0792321946
13-16	2011-10-02	0.0728672945
17-20	2011-10-02	0.1190008584
21-23	2011-10-02	0.1332411604
1-4	2012-08-01	0.0
5-8	2012-08-01	0.0162090531
10-12	2012-08-01	0.0087737951
13-16	2012-08-01	0.0199020288
17-20	2012-08-01	0.0162099819
21-23	2012-08-01	0.0089846028
1-4	2013-09-05	0.31835839
5-8	2013-09-05	0.1538117922
10-12	2013-09-05	0.0559095329
13-16	2013-09-05	0.1627035547
17-20	2013-09-05	0.140714856
21-23	2013-09-05	0.0983237729
1-4	2014-09-08	0.0236434454
5-8	2014-09-08	0.0390144415
10-12	2014-09-08	0.0147558149
13-16	2014-09-08	0.1783968012
17-20	2014-09-08	0.2228820681
21-23	2014-09-08	0.0957997067
1-4	2014-10-31	nan
5-8	2014-10-31	0.0485379804
10-12	2014-10-31	0.0833096881
13-16	2014-10-31	0.0842905189
17-20	2014-10-31	nan
21-23	2014-10-31	nan
1-4	2015-08-13	nan
5-8	2015-08-13	0.0811074559
10-12	2015-08-13	0.0222458321
13-16	2015-08-13	0.1160475242
17-20	2015-08-13	nan
21-23	2015-08-13	nan
1-4	2015-09-12	0.1096300313
5-8	2015-09-12	0.0271225313
10-12	2015-09-12	0.0438777691
13-16	2015-09-12	0.0957760671
17-20	2015-09-12	0.0703028027
21-23	2015-09-12	0.0742425468
1-4	2015-10-22	0.3761858453
5-8	2015-10-22	0.0740720359
10-12	2015-10-22	0.0701067317
13-16	2015-10-22	0.1119191825
17-20	2015-10-22	0.040839256
21-23	2015-10-22	0.0546385891
1-4	2016-09-13	0.0960215029
5-8	2016-09-13	0.1134839541
10-12	2016-09-13	0.0292570898
13-16	2016-09-13	0.1003286109
17-20	2016-09-13	0.0669123293
21-23	2016-09-13	0.0299303451
1-4	2017-04-21	0.0502707788
5-8	2017-04-21	0.0258451424
10-12	2017-04-21	0.0181324595
13-16	2017-04-21	0.0180386221
17-20	2017-04-21	0.0105576403
21-23	2017-04-21	0.0038625504
1-4	2017-06-13	0.031056292
5-8	2017-06-13	0.0209426145
10-12	2017-06-13	0.0041555684
13-16	2017-06-13	0.0969249549
17-20	2017-06-13	0.0617570439
21-23	2017-06-13	0.0145522285
1-4	2018-06-15	nan
5-8	2018-06-15	0.0573965913
10-12	2018-06-15	0.0296972642
13-16	2018-06-15	0.1037341887
17-20	2018-06-15	nan
21-23	2018-06-15	nan
1-4	2018-09-16	0.0286391436
5-8	2018-09-16	0.026725029
10-12	2018-09-16	0.0008228824
13-16	2018-09-16	0.0635000658
17-20	2018-09-16	0.0583505044
21-23	2018-09-16	0.0097965778
