tratto	data	cambiamento
1	2007-09-21	1.0
2	2007-09-21	0.0
3	2007-09-21	0.0
4	2007-09-21	0.0
5	2007-09-21	0.0
6	2007-09-21	nan
7	2007-09-21	0.006
8	2007-09-21	0.022
9	2007-09-21	nan
10	2007-09-21	nan
11	2007-09-21	0.0
12	2007-09-21	nan
13	2007-09-21	0.049
14	2007-09-21	0.0
15	2007-09-21	0.076
16	2007-09-21	0.128
17	2007-09-21	0.0
18	2007-09-21	0.0
19	2007-09-21	0.02
20	2007-09-21	0.0
21	2007-09-21	nan
22	2007-09-21	0.0
23	2007-09-21	nan
1	2008-07-05	nan
2	2008-07-05	0.0
3	2008-07-05	0.0
4	2008-07-05	0.0
5	2008-07-05	0.0
6	2008-07-05	nan
7	2008-07-05	0.0
8	2008-07-05	0.0
9	2008-07-05	nan
10	2008-07-05	nan
11	2008-07-05	0.0
12	2008-07-05	nan
13	2008-07-05	0.18
14	2008-07-05	0.014
15	2008-07-05	0.029
16	2008-07-05	0.0
17	2008-07-05	nan
18	2008-07-05	0.03
19	2008-07-05	0.041
20	2008-07-05	0.0
21	2008-07-05	0.059
22	2008-07-05	0.0
23	2008-07-05	nan
1	2009-07-08	nan
2	2009-07-08	nan
3	2009-07-08	nan
4	2009-07-08	0.0
5	2009-07-08	0.0
6	2009-07-08	nan
7	2009-07-08	0.025
8	2009-07-08	0.0
9	2009-07-08	nan
10	2009-07-08	nan
11	2009-07-08	0.005
12	2009-07-08	nan
13	2009-07-08	0.667
14	2009-07-08	0.01
15	2009-07-08	0.287
16	2009-07-08	0.109
17	2009-07-08	0.0
18	2009-07-08	0.042
19	2009-07-08	0.354
20	2009-07-08	0.0
21	2009-07-08	0.198
22	2009-07-08	0.057
23	2009-07-08	nan
1	2010-09-29	nan
2	2010-09-29	0.0
3	2010-09-29	nan
4	2010-09-29	0.0
5	2010-09-29	0.0
6	2010-09-29	nan
7	2010-09-29	0.0
8	2010-09-29	0.117
9	2010-09-29	nan
10	2010-09-29	nan
11	2010-09-29	0.023
12	2010-09-29	nan
13	2010-09-29	0.174
14	2010-09-29	0.014
15	2010-09-29	0.031
16	2010-09-29	0.097
17	2010-09-29	0.0
18	2010-09-29	0.114
19	2010-09-29	0.099
20	2010-09-29	0.152
21	2010-09-29	0.049
22	2010-09-29	0.095
23	2010-09-29	nan
1	2011-10-02	0.834
2	2011-10-02	0.4
3	2011-10-02	nan
4	2011-10-02	0.058
5	2011-10-02	0.112
6	2011-10-02	0.0
7	2011-10-02	0.055
8	2011-10-02	0.271
9	2011-10-02	nan
10	2011-10-02	0.0
11	2011-10-02	0.092
12	2011-10-02	nan
13	2011-10-02	0.089
14	2011-10-02	0.011
15	2011-10-02	0.104
16	2011-10-02	0.088
17	2011-10-02	0.092
18	2011-10-02	0.145
19	2011-10-02	0.075
20	2011-10-02	0.183
21	2011-10-02	0.14
22	2011-10-02	0.027
23	2011-10-02	nan
1	2012-08-01	0.0
2	2012-08-01	0.0
3	2012-08-01	0.0
4	2012-08-01	0.0
5	2012-08-01	0.092
6	2012-08-01	0.0
7	2012-08-01	0.007
8	2012-08-01	0.028
9	2012-08-01	nan
10	2012-08-01	0.0
11	2012-08-01	0.012
12	2012-08-01	0.0
13	2012-08-01	0.053
14	2012-08-01	0.0
15	2012-08-01	0.019
16	2012-08-01	0.041
17	2012-08-01	0.0
18	2012-08-01	0.024
19	2012-08-01	0.006
20	2012-08-01	0.046
21	2012-08-01	0.009
22	2012-08-01	0.012
23	2012-08-01	0.0
1	2013-09-05	nan
2	2013-09-05	0.291
3	2013-09-05	0.0
4	2013-09-05	0.399
5	2013-09-05	0.45
6	2013-09-05	0.19
7	2013-09-05	0.135
8	2013-09-05	0.131
9	2013-09-05	nan
10	2013-09-05	0.057
11	2013-09-05	0.056
12	2013-09-05	0.0
13	2013-09-05	0.251
14	2013-09-05	0.041
15	2013-09-05	0.204
16	2013-09-05	0.205
17	2013-09-05	0.387
18	2013-09-05	0.196
