tratto	data	cambiamento
1-4	2000-09-17	nan
5-8	2000-09-17	nan
10-12	2000-09-17	nan
13-16	2000-09-17	nan
17-20	2000-09-17	nan
21-23	2000-09-17	nan
1-4	2001-06-07	0.163
5-8	2001-06-07	0.403
10-12	2001-06-07	nan
13-16	2001-06-07	nan
17-20	2001-06-07	nan
21-23	2001-06-07	0.231
1-4	2002-05-18	0.234
5-8	2002-05-18	0.043
10-12	2002-05-18	0.302
13-16	2002-05-18	0.019
17-20	2002-05-18	nan
21-23	2002-05-18	nan
1-4	2002-06-12	nan
5-8	2002-06-12	nan
10-12	2002-06-12	nan
13-16	2002-06-12	0.256
17-20	2002-06-12	0.226
21-23	2002-06-12	0.029
1-4	2003-06-22	0.621
5-8	2003-06-22	0.305
10-12	2003-06-22	0.07
13-16	2003-06-22	0.364
17-20	2003-06-22	0.346
21-23	2003-06-22	0.169
1-4	2004-10-14	0.421
5-8	2004-10-14	0.3
10-12	2004-10-14	1.282
13-16	2004-10-14	0.119
17-20	2004-10-14	0.121
21-23	2004-10-14	0.109
1-4	2005-08-30	0.145
5-8	2005-08-30	0.034
10-12	2005-08-30	0.02
13-16	2005-08-30	0.038
17-20	2005-08-30	0.092
21-23	2005-08-30	0.051
1-4	2006-07-16	0.133
5-8	2006-07-16	0.172
10-12	2006-07-16	0.134
13-16	2006-07-16	0.135
17-20	2006-07-16	0.283
21-23	2006-07-16	0.016
1-4	2007-09-21	0.128
5-8	2007-09-21	0.054
10-12	2007-09-21	0.168
13-16	2007-09-21	0.103
17-20	2007-09-21	0.077
21-23	2007-09-21	0.322
1-4	2008-07-05	0.124
5-8	2008-07-05	0.037
10-12	2008-07-05	0.05
13-16	2008-07-05	0.082
17-20	2008-07-05	0.103
21-23	2008-07-05	0.091
1-4	2009-07-08	0.083
5-8	2009-07-08	0.358
10-12	2009-07-08	0.34
13-16	2009-07-08	0.532
17-20	2009-07-08	0.602
21-23	2009-07-08	0.441
1-4	2010-09-29	0.473
5-8	2010-09-29	0.17
10-12	2010-09-29	0.114
13-16	2010-09-29	0.124
17-20	2010-09-29	0.259
21-23	2010-09-29	0.14
1-4	2011-10-02	0.407
5-8	2011-10-02	0.257
10-12	2011-10-02	0.148
13-16	2011-10-02	0.261
17-20	2011-10-02	0.468
21-23	2011-10-02	0.209
1-4	2012-08-01	0.047
5-8	2012-08-01	0.068
10-12	2012-08-01	0.04
13-16	2012-08-01	0.042
17-20	2012-08-01	0.036
21-23	2012-08-01	0.025
1-4	2013-09-05	0.549
5-8	2013-09-05	0.442
10-12	2013-09-05	0.231
13-16	2013-09-05	0.31
17-20	2013-09-05	0.372
21-23	2013-09-05	0.167
1-4	2014-09-08	0.12
5-8	2014-09-08	0.154
10-12	2014-09-08	0.035
13-16	2014-09-08	0.248
17-20	2014-09-08	0.29
21-23	2014-09-08	0.154
1-4	2014-10-31	nan
5-8	2014-10-31	0.315
10-12	2014-10-31	0.32
13-16	2014-10-31	0.189
17-20	2014-10-31	nan
21-23	2014-10-31	nan
1-4	2015-08-13	nan
5-8	2015-08-13	0.117
10-12	2015-08-13	0.057
13-16	2015-08-13	0.171
17-20	2015-08-13	nan
21-23	2015-08-13	nan
1-4	2015-09-12	0.332
5-8	2015-09-12	0.251
10-12	2015-09-12	0.137
13-16	2015-09-12	0.268
17-20	2015-09-12	0.19
21-23	2015-09-12	0.143
1-4	2015-10-22	0.323
5-8	2015-10-22	0.141
10-12	2015-10-22	0.11
13-16	2015-10-22	0.16
17-20	2015-10-22	0.122
21-23	2015-10-22	0.12
1-4	2016-09-13	0.161
5-8	2016-09-13	0.234
10-12	2016-09-13	0.097
13-16	2016-09-13	0.151
17-20	2016-09-13	0.169
21-23	2016-09-13	0.054
1-4	2017-04-21	0.191
5-8	2017-04-21	0.143
10-12	2017-04-21	0.146
13-16	2017-04-21	0.137
17-20	2017-04-21	0.128
21-23	2017-04-21	0.118
1-4	2017-06-13	0.389
5-8	2017-06-13	0.142
10-12	2017-06-13	0.035
13-16	2017-06-13	0.194
17-20	2017-06-13	0.199
21-23	2017-06-13	0.092
1-4	2018-06-15	nan
5-8	2018-06-15	0.233
10-12	2018-06-15	0.132
13-16	2018-06-15	0.144
17-20	2018-06-15	nan
21-23	2018-06-15	nan
1-4	2018-09-16	0.066
5-8	2018-09-16	0.398
10-12	2018-09-16	0.135
13-16	2018-09-16	0.404
17-20	2018-09-16	0.112
21-23	2018-09-16	0.02
