tratto	data	cambiamento
1	2000-09-17	nan
2	2000-09-17	nan
3	2000-09-17	nan
4	2000-09-17	nan
5	2000-09-17	nan
6	2000-09-17	nan
7	2000-09-17	nan
8	2000-09-17	nan
9	2000-09-17	nan
10	2000-09-17	nan
11	2000-09-17	nan
12	2000-09-17	nan
13	2000-09-17	nan
14	2000-09-17	nan
15	2000-09-17	nan
16	2000-09-17	nan
17	2000-09-17	nan
18	2000-09-17	nan
19	2000-09-17	nan
20	2000-09-17	nan
21	2000-09-17	nan
22	2000-09-17	nan
23	2000-09-17	nan
1	2001-06-07	nan
2	2001-06-07	nan
3	2001-06-07	0.292
4	2001-06-07	0.283
5	2001-06-07	0.72
6	2001-06-07	0.232
7	2001-06-07	0.391
8	2001-06-07	0.184
9	2001-06-07	nan
10	2001-06-07	nan
11	2001-06-07	nan
12	2001-06-07	nan
13	2001-06-07	nan
14	2001-06-07	nan
15	2001-06-07	nan
16	2001-06-07	nan
17	2001-06-07	nan
18	2001-06-07	nan
19	2001-06-07	nan
20	2001-06-07	nan
21	2001-06-07	0.231
22	2001-06-07	nan
23	2001-06-07	nan
1	2002-05-18	0.538
2	2002-05-18	0.533
3	2002-05-18	nan
4	2002-05-18	nan
5	2002-05-18	nan
6	2002-05-18	0.308
7	2002-05-18	0.045
8	2002-05-18	0.027
9	2002-05-18	nan
10	2002-05-18	nan
11	2002-05-18	0.307
12	2002-05-18	0.0
13	2002-05-18	0.269
14	2002-05-18	0.31
15	2002-05-18	nan
16	2002-05-18	nan
17	2002-05-18	nan
18	2002-05-18	nan
19	2002-05-18	nan
20	2002-05-18	nan
21	2002-05-18	nan
22	2002-05-18	nan
23	2002-05-18	nan
1	2002-06-12	nan
2	2002-06-12	nan
3	2002-06-12	nan
4	2002-06-12	nan
5	2002-06-12	nan
6	2002-06-12	nan
7	2002-06-12	nan
8	2002-06-12	nan
9	2002-06-12	nan
10	2002-06-12	nan
11	2002-06-12	nan
12	2002-06-12	nan
13	2002-06-12	nan
14	2002-06-12	0.397
15	2002-06-12	0.03
16	2002-06-12	0.162
17	2002-06-12	0.113
18	2002-06-12	0.292
19	2002-06-12	0.397
20	2002-06-12	0.492
21	2002-06-12	0.018
22	2002-06-12	0.059
23	2002-06-12	0.161
1	2003-06-22	0.667
2	2003-06-22	0.584
3	2003-06-22	0.422
4	2003-06-22	0.196
5	2003-06-22	0.656
6	2003-06-22	0.655
7	2003-06-22	0.241
8	2003-06-22	0.221
9	2003-06-22	nan
10	2003-06-22	0.87
11	2003-06-22	nan
12	2003-06-22	nan
13	2003-06-22	0.493
14	2003-06-22	0.17
15	2003-06-22	0.069
16	2003-06-22	0.182
17	2003-06-22	0.193
18	2003-06-22	0.523
19	2003-06-22	0.604
20	2003-06-22	0.447
21	2003-06-22	0.162
22	2003-06-22	0.223
23	2003-06-22	0.138
1	2004-10-14	nan
2	2004-10-14	0.939
3	2004-10-14	0.343
4	2004-10-14	0.359
5	2004-10-14	0.529
6	2004-10-14	0.639
7	2004-10-14	0.231
8	2004-10-14	0.32
9	2004-10-14	nan
10	2004-10-14	0.708
11	2004-10-14	0.58
12	2004-10-14	1.062
13	2004-10-14	0.399
14	2004-10-14	0.429
15	2004-10-14	0.087
16	2004-10-14	0.126
17	2004-10-14	0.049
18	2004-10-14	0.18
19	2004-10-14	0.385
20	2004-10-14	0.245
21	2004-10-14	0.11
22	2004-10-14	0.054
23	2004-10-14	0.252
1	2005-08-30	0.66
2	2005-08-30	0.143
3	2005-08-30	0.048
4	2005-08-30	0.132
5	2005-08-30	0.12
6	2005-08-30	0.055
7	2005-08-30	0.018
8	2005-08-30	0.01
9	2005-08-30	nan
10	2005-08-30	0.132
11	2005-08-30	0.005
12	2005-08-30	0.333
13	2005-08-30	0.084
14	2005-08-30	0.061
15	2005-08-30	0.033
16	2005-08-30	0.035
17	2005-08-30	0.129
18	2005-08-30	0.082
19	2005-08-30	0.088
20	2005-08-30	0.085
21	2005-08-30	0.051
22	2005-08-30	0.013
23	2005-08-30	0.112
1	2006-07-16	0.1
2	2006-07-16	0.167
3	2006-07-16	0.063
4	2006-07-16	0.201
5	2006-07-16	0.422
6	2006-07-16	0.5
7	2006-07-16	0.135
8	2006-07-16	0.151
9	2006-07-16	nan
10	2006-07-16	0.277
11	2006-07-16	0.092
12	2006-07-16	0.75
13	2006-07-16	0.093
14	2006-07-16	0.285
15	2006-07-16	0.107
16	2006-07-16	0.095
17	2006-07-16	0.41
18	2006-07-16	0.266
19	2006-07-16	0.243
20	2006-07-16	0.282
21	2006-07-16	nan
22	2006-07-16	0.134
23	2006-07-16	0.364
1	2007-09-21	0.232
2	2007-09-21	0.179
3	2007-09-21	0.107
4	2007-09-21	0.037
5	2007-09-21	0.086
6	2007-09-21	0.073
7	2007-09-21	0.05
8	2007-09-21	0.047
9	2007-09-21	nan
