integrale_piene_tr_0.2	integrale_piene_tr_0.5	integrale_piene_tr_1	gr_2_tr_0.2	gr_4_tr_0.2	gr_5_tr_0.2	gr_1_tr_0.5	gr_2_tr_0.5	gr_3_tr_0.5	gr_4_tr_0.5	gr_5_tr_0.5	gr_2_tr_1
0.8489464	0.0330208	nan	0.0266006	nan	nan	0.120544	0.0266006	0.0293944	0.10812	nan	0.0266006
0.8489464	0.0330208	nan	nan	nan	0.0451887	nan	nan	nan	0.0222751	0.0451887	nan
4.8531016	0.985114	0.2539931	0.403361	0.2539931	nan	0.334249	0.403361	0.410354	0.571924	nan	0.403361
4.8531016	0.985114	0.2539931	nan	0.2539931	0.58383	nan	nan	nan	0.618204	0.58383	nan
7.860182	1.7349221	0.4872236	nan	0.4872236	nan	0.33266	nan	nan	nan	nan	nan
3.0070804	0.7498081	0.2332305	0.18531	0.2332305	nan	0.167959	0.18531	nan	nan	nan	0.18531
3.0070804	0.7498081	0.2332305	0.150095	0.2332305	nan	nan	0.150095	0.122509	0.059984	nan	0.150095
3.0070804	0.7498081	0.2332305	nan	0.2332305	0.22871	nan	nan	nan	0.154106	0.22871	nan
5.7693617	1.4466085	0.3785278	0.296085	0.3785278	0.635853	0.457423	0.296085	0.239128	0.455678	0.635853	0.296085
1.8582586	0.2458932	nan	0.0275106	nan	nan	0.0413883	0.0275106	nan	nan	nan	0.0275106
1.8582586	0.2458932	nan	0.0574882	nan	0.0460997	nan	0.0574882	0.0302187	0.0613915	0.0460997	0.0574882
6.8434334	1.9921206	0.9401966	0.527415	0.9401966	0.490346	0.555527	0.527415	0.374269	0.462164	0.490346	0.527415
6.1709023	0.6400171	nan	0.135363	nan	0.268924	0.0818	0.135363	0.0431453	0.26191	0.268924	0.135363
nan	nan	nan	0.541576	nan	nan	nan	0.541576	0.669311	0.735442	nan	0.541576
3.8823374	1.081334	0.3067279	0.129303	0.3067279	nan	0.266901	0.129303	nan	nan	nan	0.129303
3.8823374	1.081334	0.3067279	nan	0.3067279	0.277304	nan	nan	nan	0.39534	0.277304	nan
3.8823374	1.081334	0.3067279	0.0809451	0.3067279	nan	nan	0.0809451	0.17961	0.132529	nan	0.0809451
nan	nan	nan	0.318963	nan	nan	nan	0.318963	0.172821	0.175422	nan	0.318963
0.1515482	0.0077708	nan	0.125371	nan	0.072458	0.249499	0.125371	0.124633	0.190742	0.072458	0.125371
0.1824085	0.0010807	nan	0.173419	nan	0.224264	0.0710026	0.173419	0.128115	0.128404	0.224264	0.173419
0.1478088	nan	nan	0.184115	nan	0.253544	0.159389	0.184115	0.236424	0.21467	0.253544	0.184115
1.2312103	0.3560904	0.1000389	0.213148	0.1000389	0.372107	0.426249	0.213148	0.0895547	0.323505	0.372107	0.213148
1.3018403	0.4403669	0.1645536	0.248046	0.1645536	nan	nan	0.248046	0.216385	0.267153	nan	0.248046
1.3018403	0.4403669	0.1645536	0.0295091	0.1645536	nan	0.0472344	0.0295091	nan	nan	nan	0.0295091
1.3018403	0.4403669	0.1645536	nan	0.1645536	0.0835154	nan	nan	nan	0.186504	0.0835154	nan
nan	nan	nan	0.476192	nan	nan	nan	0.476192	0.308432	0.513154	nan	0.476192
