integrale_piene_tr_0.2	integrale_piene_tr_1	gr_5_tr_0.2	gr_2_tr_1	gr_3_tr_1
0.8489464	nan	0.00895129	nan	nan
4.8531016	0.2539931	nan	0.154039	0.0364849
4.8531016	0.2539931	0.204682	nan	nan
7.860182	0.4872236	nan	nan	nan
3.0070804	0.2332305	nan	0.113157	nan
3.0070804	0.2332305	nan	0.114612	0.0362246
3.0070804	0.2332305	0.10393	nan	nan
5.7693617	0.3785278	0.381301	0.242911	0.104019
1.8582586	nan	nan	0.0659967	nan
1.8582586	nan	0.0184972	0.0249233	0.0334276
6.8434334	0.9401966	0.264742	0.277566	0.129758
6.1709023	nan	0.281509	0.123883	0.0344444
nan	nan	nan	0.209119	0.406303
3.8823374	0.3067279	nan	0.0659218	nan
3.8823374	0.3067279	0.147138	nan	nan
3.8823374	0.3067279	nan	0.0811808	0.0224609
nan	nan	nan	0.0203561	0.0749073
0.1515482	nan	0.2276	0.18463	0.141917
0.1824085	nan	0.187059	0.237387	0.0759415
0.1478088	nan	0.0706929	0.0856171	0.0666282
1.2312103	0.1000389	0.187301	0.054152	0.00336273
1.3018403	0.1645536	nan	0.0960609	0.0612235
1.3018403	0.1645536	nan	0	nan
1.3018403	0.1645536	0.0322441	nan	nan
nan	nan	nan	0.0181386	0.014772
