integrale_piene	tr_1	tr_2	tr_3	tr_4	tr_5	tr_6	tr_7	tr_8	tr_9	tr_10	tr_11	tr_12	tr_13	tr_14	tr_15	tr_16	tr_17	tr_18	tr_19	tr_20	tr_21	tr_22	tr_23
3.1363405	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.1363405	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.1363405	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.1363405	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.2565984	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	0.121212	0.0383212	0.0214286	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.8133835	nan	nan	0.322078	0.177632	0.392157	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.1202579	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0167886	nan	nan
0.1202579	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.366947	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.8133835	0.526316	0.54878	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.8133835	nan	nan	nan	nan	nan	0.345455	0.224779	0.189873	nan	0.482014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.8133835	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.445255	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.9842302	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.558111	0.965909	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.6931255	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.0641971	0.16709	0.187519	0.383255	0.592618	0.390805	0.156647	0.207071	nan
0.1708468	nan	0.768595	0.33452	0.310811	0.590164	0.0830325	0.232184	0.292857	nan	0.573034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.1708468	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.388889	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.1708468	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.369863	0.2574	0.133369	0.357341	0.134561	0.316011	0.154762	0.118153	0.100592	nan
0.6700432	0.368421	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.4991964	nan	0	0.0526316	0.0813953	0.0441176	0	0.0116054	0	nan	0	0	0	0.046332	0.0330189	0.0370662	0.117895	0.0852273	0.0584112	0.0589849	0.0517241	0.0496454	0.0106383	nan
nan	0.0508475	0.122093	0.0528634	0.163265	0.278351	0.211538	0.121908	0.134529	nan	0.213542	0.0734266	0.310345	0.0821429	0.243243	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.100386	0.0804829	0.349206	0.24826	0.228767	0.140271	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.065445	nan
0.0266183	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0594595	nan	nan
0.0266183	0.2	0.145161	0.0798611	0.0550459	0.0368098	0.075	0.0434783	0.0335821	nan	0.106443	0.0901432	0.178947	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.0266183	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0864198	0.0564103	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.0266183	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.068358	0.111301	0.0874317	nan	nan	nan	nan	nan	nan
0.0266183	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.0218216	0	nan	nan	nan
0.0266183	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.143573	nan
0.0330208	0.0830565	0.0690423	0.238095	0.00938967	0.0432099	0.00662252	0.012333	0.0212314	nan	0.00364631	0.0268873	0.0989011	0.135965	0.0459883	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.0330208	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0254237	0.0264984	0.0373269	0.0361681	0.0482221	0.0438931	0.0621679	0.0173847	nan
0.985114	nan	nan	0.252632	0.245763	0.338496	0.634146	0.252149	0.294922	nan	0.318182	0.300821	0.603261	0.551387	0.40573	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.985114	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.426062	0.665399	0.602471	0.598789	0.407044	0.598137	0.349863	0.626332	nan
1.7349221	0.232446	0.351399	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.7498081	nan	nan	0.125	0.123223	0.210366	0.0865385	0.120812	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.7498081	nan	nan	nan	nan	nan	nan	nan	0.132584	nan	0.107767	0.0664723	0.257143	0.0886076	0.037464	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.7498081	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0742812	0.170823	0.230519	0.32989	0.0949205	0.158068	0.0889279	0.232114	nan
1.4466085	0.378947	0.447368	0.330986	0.115789	0.172911	0.0882353	0.236786	0.259091	nan	0.1	0.126257	0.58427	0.12766	0.233577	0.223027	0.33109	0.563307	0.395717	0.419214	0.410714	0.177229	0.263254	nan
0.2458932	0.0664062	0.0175159	0.0215517	0.00442478	0.0210084	0.0138889	0.0580475	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.2458932	nan	nan	nan	nan	nan	nan	nan	0.03125	nan	0.00673401	0.043609	0.0363636	0.0306452	0.00708592	0.0241187	0.0835694	0.0372671	0.0285235	0.0119347	0.010568	0.0148793	0.0246305	nan
1.9921206	0.556391	0.501548	0.430769	0.563786	0.439703	0.512064	0.405455	0.369735	nan	0.295901	0.158568	0.462963	0.331707	0.21453	0.290559	0.428358	0.388608	0.413149	0.266708	0.439119	0.133787	0.292424	nan
0.6400171	0.0686275	0.0462046	0.0517241	0.144444	0.118677	0.0440529	0.146552	0.0650685	nan	0.0201635	0.0324641	0.121212	0.102941	0.204311	0.274368	0.288056	0.16899	0.328072	0.148426	0.469388	0.0932112	0.413043	nan
nan	nan	nan	nan	nan	nan	0.327446	0.309651	0.34676	nan	0.344271	0.277478	0.314286	0.314732	0.269652	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.081334	0.178499	0.343307	0.091623	0.282178	0.107266	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.081334	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.215507	0.227533	0.152344	0.1649	0.119671	0.142458	0.112219	0.222488	nan
1.081334	nan	nan	nan	nan	nan	0.100119	0.0719579	0.0633669	nan	0.0444185	0.0391711	0.0877874	0.140384	0.133079	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	0.334584	0.195566	0.195335	nan	0.152542	0.0793168	0.288136	0.138771	0.113624	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.0077708	0.25593	0.403659	0.246734	0.2	0.182482	0.186944	0.0867245	0.0900083	nan	0.0977983	0.110947	0.244186	0.116364	0.138922	0.221035	0.131973	0.142114	0.123466	0.0870679	0.159649	0.0888727	0.313988	nan
0.0010807	0.107103	0.0668177	0.0975309	0.215613	0.212069	0.216511	0.123656	0.161668	nan	0.101508	0.0608717	0.196262	0.109394	0.100059	0.138568	0.145199	0.177019	0.168814	0.108846	0.109827	0.0423434	0.0806452	nan
