integrale_piene_tr_0.2	integrale_piene_tr_1	gr_5_tr_0.2	gr_6_tr_0.2	gr_1_tr_1	gr_2_tr_1
0.8489464	nan	0.0344529	0.0548485	nan	nan
4.8531016	0.2539931	nan	nan	0	0.0206211
4.8531016	0.2539931	0.186731	0.190791	nan	nan
7.860182	0.4872236	nan	nan	0	nan
3.0070804	0.2332305	nan	nan	0	0
3.0070804	0.2332305	nan	nan	nan	0.117316
3.0070804	0.2332305	0.105848	0.0523772	nan	nan
5.7693617	0.3785278	0.119001	0.133241	0.255476	0.105073
1.8582586	nan	nan	nan	0	0.0162091
1.8582586	nan	0.01621	0.00899089	nan	0.027953
6.8434334	0.9401966	0.140715	0.0976294	0.318358	0.153812
6.1709023	nan	0.222882	0.0952198	0.0236434	0.0390144
nan	nan	nan	nan	nan	0.048538
3.8823374	0.3067279	nan	nan	0.10963	0.0639785
3.8823374	0.3067279	0.0703028	0.0742425	nan	nan
3.8823374	0.3067279	nan	nan	nan	0.0811075
nan	nan	nan	nan	nan	0.0271225
0.1515482	nan	0.0408393	0.0546386	0.376186	0.074072
0.1824085	nan	0.0669123	0.0299303	0.0960215	0.113484
0.1478088	nan	0.0105576	0.00386255	0.0502708	0.0258451
1.2312103	0.1000389	0.061757	0.0145522	0.0310563	0.0209426
1.3018403	0.1645536	nan	nan	nan	0.0573966
1.3018403	0.1645536	nan	nan	0.0286391	0
1.3018403	0.1645536	0.0583505	0.00979658	nan	nan
nan	nan	nan	nan	nan	0.026725
