om_tr_1	area_tr_1	om_tr_2	area_tr_2	om_tr_3	area_tr_3	om_tr_4	area_tr_4	om_tr_5	area_tr_5	om_tr_6	area_tr_6	om_tr_7	area_tr_7	om_tr_8	area_tr_8	om_tr_9	area_tr_9	om_tr_10	area_tr_10	om_tr_11	area_tr_11	om_tr_12	area_tr_12	om_tr_13	area_tr_13	om_tr_14	area_tr_14	om_tr_15	area_tr_15	om_tr_16	area_tr_16	om_tr_17	area_tr_17	om_tr_18	area_tr_18	om_tr_19	area_tr_19	om_tr_20	area_tr_20	om_tr_21	area_tr_21	om_tr_22	area_tr_22	om_tr_23	area_tr_23
0.0673209	0.021289	0.063879	0.024326	0.0937798	0.0385678	0.0958829	0.0336656	0.0830509	0.0174756	0.0623894	0.0094721	0.0539894	0.0668481	0.0471964	0.0237271	nan	nan	0.0281396	0	0.0332301	0.0155738	0.073098	0.00081103	0.0691649	0.0270927	0.0473565	0.0235557	0.0292534	0.216618	0.0447972	0.128404	0.0312666	0.159752	0.0411397	0.0215731	0.0434434	0.185668	0.0519163	0.00837209	0.0359592	0.181524	nan	nan	nan	nan
nan	nan	nan	nan	0.094601	0.0292537	0.0941316	0.0300065	0.0800292	0.0053224	0.0606315	0.00145936	0.0516139	0.0523696	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.036768	0.16714	0.0546179	0.0515725	0.092767	0.0340535
0.0675183	0.0105584	0.0633652	0.0232254	nan	nan	nan	nan	nan	nan	0.0621668	0.00333794	0.0519903	0.0601572	0.0498092	0.0184082	nan	nan	0.0285642	0.0143443	0.0363377	0.118763	0.0811615	0.0360198	0.0738004	0.0480944	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0484384	0.0262748	0.0301181	0.286191	0.0453485	0.128506	0.0310124	0.159412	0.0408985	0.0275743	0.0443077	0.149787	0.0527861	0.0102689	0.0372739	0.18272	0.0550179	0.062681	0.0945676	0.0324748
0.0646731	0.00595573	0.060263	0.00946644	0.0911019	0.0262553	0.0944809	0.0279354	0.0798272	0.00591819	0.0592936	0.00395214	0.0510309	0.0489823	0.0480029	0.0166971	nan	nan	0.0277575	0.013034	nan	nan	nan	nan	0.074486	0.0298312	0.0489262	0.0330431	0.0304715	0.289808	0.0455235	0.117004	0.0298808	0.128394	0.0389576	0.0223322	0.0441526	0.0620163	0.05071	0.00687954	0.0373247	0.159577	0.0529525	0.0514754	0.0954225	0.0403013
nan	nan	0.0562706	0.0025	0.0863759	0.0188971	0.09112	0.0223111	0.0767543	0.00209205	0.0562962	0.0264749	0.0502332	0.0367679	0.0474214	0.0127577	nan	nan	0.0264048	0.00654383	0.0339917	0.0510061	0.0694107	0.00115518	0.0707816	0.0177794	0.0475981	0.0234718	0.0375575	0.0899085	0.045448	0.0959383	0.0353621	0.0133579	0.0400729	0.0266696	0.0430305	0.0503151	0.0505787	0.00919213	0.0369517	0.130304	0.0520816	0.0245082	0.090191	0.0348879
0.0651121	0.0067881	0.0592879	0.0118532	0.0935675	0.0186005	0.094419	0.0346783	0.0798689	0.00557297	0.0606928	0.00247219	0.0514626	0.057855	0.0484964	0.0262256	nan	nan	0.0272446	0.0262971	0.0356978	0.100235	0.0773315	0.00514801	0.0740596	0.0321322	0.0486202	0.0428437	0.0418744	0.0870434	0.0525418	0.0287222	0.0374516	0.0196353	0.0416136	0.0364146	0.0447889	0.0737714	0.0518956	0.0146121	0.0409388	0.141288	0.0576187	0.0331787	0.114949	0.00499093
0.0663737	0.0129166	0.0598964	0.0143509	0.0936782	0.0211844	0.093907	0.0355748	0.0795986	0.00607481	0.059086	0.00448529	0.0509455	0.0554873	0.0481726	0.0252651	nan	nan	0.0271289	0.0267162	0.0362349	0.118427	0.076091	0.00844238	0.0736763	0.03326	0.0479998	0.0374601	0.0408428	0.0810717	0.0520212	0.0310167	0.0367326	0.0147129	0.0396281	0.0278794	0.0438782	0.0593131	0.0512354	0.024918	nan	nan	0.059366	0.0657967	0.117453	0.00602689
0.0661144	0.0119472	0.0598169	0.0150911	0.0949411	0.026463	0.0979216	0.0232979	0.0809759	0.0138607	0.0610496	0.00418221	0.051393	0.0619439	0.0485539	0.0341734	nan	nan	0.0271193	0.0564202	0.035898	0.159386	0.0739072	0.0319803	0.0743595	0.0483281	0.0488085	0.0577648	0.0426472	0.0961343	0.0529227	0.0358351	0.0381495	0.0311199	0.0415011	0.0515905	0.0456329	0.112962	0.0519232	0.0842637	0.0398703	0.193565	0.0584423	0.0933599	0.120526	0.038059
0.0708863	0.0339943	0.0648652	0.0430218	0.101792	0.00685225	0.100188	0.0536913	0.0836645	0.0263614	0.0623822	0.017325	0.0528452	0.113955	0.0490654	0.0608	nan	nan	0.027298	0.195656	0.0376773	0.288724	0.076252	0.0681049	0.0753038	0.0784392	0.0484535	0.102223	0.0439206	0.129088	0.0539015	0.108509	0.0387098	0.100782	0.0427592	0.13732	0.0462666	0.217063	0.0539004	0.207368	0.0427806	0.324121	0.0622131	0.250385	0.160753	0.0475888
nan	nan	nan	nan	0.0993874	0.00742212	0.100982	0.0415209	0.0815012	0.0265683	0.0606587	0.00673854	0.0519962	0.0892206	0.0483371	0.0474189	nan	nan	0.0268816	0.136746	0.0360042	0.201599	0.0736355	0.0298203	0.0731932	0.0353561	0.0480344	0.0662204	0.0428027	0.0738769	0.052941	0.0364691	0.0382612	0.0441067	0.0412557	0.0563917	0.0450018	0.143706	0.0513701	0.0850756	0.040487	0.206204	0.0561659	0.0853765	0.123463	0.0151072
0.0703835	0.0387673	0.0620672	0.0367343	0.0979437	0.0121562	0.100257	0.040528	0.0814072	0.0239638	0.0605364	0.0106478	0.0520971	0.0979564	0.0482231	0.0505831	nan	nan	0.0266712	0.159854	0.0359936	0.236904	0.0730092	0.0315917	0.0724111	0.0457899	0.0485746	0.104353	0.0432029	0.0853147	0.0523016	0.045377	0.0374083	0.0433061	0.0405689	0.0428559	0.0447552	0.189555	0.0520338	0.102158	0.0394684	0.219568	0.0534962	0.0799934	0.120355	0.00475059
0.0691655	0.028362	0.0611162	0.0224011	0.0983694	0.00982928	0.102659	0.0398387	0.0815737	0.0255247	0.0599584	0.0172069	0.0519429	0.0821855	0.0469915	0.0416294	nan	nan	0.0267223	0.16626	0.0362241	0.232911	0.0736355	0.0151144	0.0715196	0.0463568	0.0481584	0.0867321	0.0423946	0.0697053	0.051201	0.0331997	0.0362534	0.0199516	0.0391797	0.0276064	0.0435889	0.111355	0.0501437	0.0635348	0.0386114	0.190437	0.0519894	0.064864	0.111263	0.00263505
0.0776793	0.0322581	0.0654717	0.0639934	0.0998362	0.0243621	0.106158	0.0556645	0.083368	0.0418106	0.0609944	0.0400903	0.0536341	0.126822	0.0473787	0.0798249	nan	nan	0.0269857	0.31151	0.0383485	0.300804	0.0755489	0.0222129	0.0729587	0.0770217	0.0498305	0.119765	0.0444428	0.0796608	0.0523838	0.0442182	0.0376514	0.047511	0.0404247	0.0508229	0.0446305	0.16856	0.0522635	0.100201	0.040824	0.307456	0.0567182	0.104302	0.140983	0.00389538
