om_tr_1	area_tr_1	om_tr_2	area_tr_2	om_tr_3	area_tr_3	om_tr_4	area_tr_4	om_tr_5	area_tr_5	om_tr_6	area_tr_6	om_tr_7	area_tr_7	om_tr_8	area_tr_8	om_tr_9	area_tr_9	om_tr_10	area_tr_10	om_tr_11	area_tr_11	om_tr_12	area_tr_12	om_tr_13	area_tr_13	om_tr_14	area_tr_14	om_tr_15	area_tr_15	om_tr_16	area_tr_16	om_tr_17	area_tr_17	om_tr_18	area_tr_18	om_tr_19	area_tr_19	om_tr_20	area_tr_20	om_tr_21	area_tr_21	om_tr_22	area_tr_22	om_tr_23	area_tr_23
0.0673209	40950	0.063879	54000	0.0937798	87975	0.0958829	34200	0.0830509	43425	0.0623894	18450	0.0539894	127125	0.0471964	41625	nan	nan	0.0281396	0	0.0332301	25650	0.073098	450	0.0691649	50175	0.0473565	52200	0.0292534	977850	0.0447972	494325	0.0312666	706050	0.0411397	108675	0.0434434	400500	0.0519163	14175	0.0359592	529200	nan	nan	nan	nan
nan	nan	nan	nan	0.094601	66150	0.0941316	31050	0.0800292	13725	0.0606315	2925	0.0516139	104175	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.036768	476550	0.0546179	68625	0.092767	20925
0.0675183	20250	0.0633652	51975	nan	nan	nan	nan	nan	nan	0.0621668	6525	0.0519903	118800	0.0498092	30600	nan	nan	0.0285642	17325	0.0363377	178875	0.0811615	18000	0.0738004	83475	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0484384	56925	0.0301181	1.25E+06	0.0453485	488700	0.0310124	710325	0.0408985	139725	0.0443077	316800	0.0527861	17100	0.0372739	513900	0.0550179	82800	0.0945676	19575
0.0646731	11925	0.060263	22275	0.0911019	61650	0.0944809	28800	0.0798272	15300	0.0592936	8100	0.0510309	98550	0.0480029	28800	nan	nan	0.0277575	16200	nan	nan	nan	nan	0.074486	51300	0.0489262	70875	0.0304715	1.26E+06	0.0455235	443250	0.0298808	593775	0.0389576	118800	0.0441526	131625	0.05071	11925	0.0373247	448200	0.0529525	70650	0.0954225	24075
nan	nan	0.0562706	6300	0.0863759	46800	0.09112	23850	0.0767543	5625	0.0562962	57150	0.0502332	75150	0.0474214	22275	nan	nan	0.0264048	8550	0.0339917	82125	0.0694107	675	0.0707816	32175	0.0475981	51750	0.0375575	316125	0.045448	364050	0.0353621	52200	0.0400729	137925	0.0430305	109575	0.0505787	15975	0.0369517	369675	0.0520816	34200	0.090191	22050
0.0651121	13500	0.0592879	28350	0.0935675	42525	0.094419	35775	0.0798689	14400	0.0606928	4950	0.0514626	115425	0.0484964	44775	nan	nan	0.0272446	33300	0.0356978	153675	0.0773315	2700	0.0740596	55575	0.0486202	92475	0.0418744	274500	0.0525418	94275	0.0374516	72450	0.0416136	181350	0.0447889	154350	0.0518956	24750	0.0409388	361800	0.0576187	41850	0.114949	2475
0.0663737	25200	0.0598964	33975	0.0936782	48375	0.093907	36900	0.0795986	15750	0.059086	9225	0.0509455	111825	0.0481726	43425	nan	nan	0.0271289	33975	0.0362349	178875	0.076091	4500	0.0736763	57825	0.0479998	81900	0.0408428	262125	0.0520212	102825	0.0367326	55350	0.0396281	145800	0.0438782	126675	0.0512354	42750	nan	nan	0.059366	80550	0.117453	2925
0.0661144	23400	0.0598169	35775	0.0949411	59625	0.0979216	23175	0.0809759	35325	0.0610496	8325	0.051393	123750	0.0485539	58275	nan	nan	0.0271193	71775	0.035898	243000	0.0739072	17550	0.0743595	83250	0.0488085	124200	0.0426472	297675	0.0529227	116775	0.0381495	112725	0.0415011	257625	0.0456329	231975	0.0519232	142650	0.0398703	508950	0.0584423	116100	0.120526	18000
0.0708863	62100	0.0648652	94050	0.101792	14400	0.100188	52200	0.0836645	65025	0.0623822	33750	0.0528452	221400	0.0490654	102600	nan	nan	0.027298	247275	0.0376773	419400	0.076252	36225	0.0753038	133425	0.0484535	221400	0.0439206	388125	0.0539015	347175	0.0387098	359775	0.0427592	665550	0.0462666	439650	0.0539004	338175	0.0427806	794250	0.0622131	292500	0.160753	16875
