Tratto	Eta	Perc_erosa_su_tot_isole
1	3.79	34.42
1	4.97	0.36
2	3.79	48.09
3	3.79	37.50
4	3.79	27.01
4	4.97	0.47
5	3.79	47.90
5	4.97	0.65
5	5.85	0.65
6	3.79	67.33
6	4.97	2.00
7	3.79	22.16
7	4.97	0.84
7	5.85	0.42
7	6.73	3.57
7	8.04	0.32
7	10.80	0.11
8	3.79	23.75
8	4.97	0.44
8	5.85	1.31
8	6.73	7.41
9	3.79	19.00
9	4.97	1.39
9	5.85	0.14
9	6.73	1.88
10	3.79	30.56
10	4.97	2.47
10	5.85	0.27
11	3.79	28.59
11	4.97	1.65
11	5.85	0.48
11	6.73	0.37
11	10.80	0.05
12	3.79	60.98
12	4.97	6.71
13	3.79	38.41
13	4.97	7.78
13	5.85	1.69
13	6.73	7.78
13	8.04	0.51
13	10.80	1.02
14	3.79	35.79
14	4.97	5.85
14	5.85	0.31
14	6.73	2.87
14	9.07	0.10
14	10.80	0.10
15	3.79	29.04
15	4.97	3.19
15	5.85	0.87
15	6.73	0.87
15	8.04	0.58
15	9.07	0.23
15	10.80	8.81
16	3.79	63.19
16	4.97	2.33
16	5.85	0.71
16	6.73	1.10
16	8.04	0.06
16	10.80	0.65
17	3.79	65.62
17	4.97	1.89
17	6.73	0.06
18	3.79	58.44
18	4.97	4.46
18	6.73	0.14
18	8.04	0.20
18	9.07	0.10
18	10.80	0.17
19	3.79	37.77
19	4.97	3.02
19	6.73	0.31
19	8.04	1.02
19	10.80	4.61
20	3.79	57.95
20	4.97	5.79
20	5.85	0.20
20	6.73	0.13
21	3.79	25.69
21	5.85	2.49
21	6.73	2.38
21	8.04	0.82
21	9.07	0.14
21	10.08	0.17
21	10.80	4.48
22	3.79	58.17
22	4.97	4.16
22	5.85	0.54
22	6.73	0.15
22	10.08	0.23
