tratto	rapp_isl_2008	rapp_isl_2016
1	0.033994334	0.041640379
2	0.04302182	0.035538687
3	0.006852248	0.033424783
4	0.053691275	0.022161538
5	0.026361397	0.035820662
6	0.017325017	0.046712081
7	0.113954835	0.073454254
8	0.0608	0.06147651
9	nan	nan
10	0.195656044	0.290590334
11	0.288723668	0.263645656
12	0.068104907	0.013709549
13	0.078439153	0.040866434
14	0.102223146	0.0710214
15	0.12908778	0.035023474
16	0.108509142	0.021005985
17	0.100781545	0.027439814
18	0.13731953	0.022232297
19	0.217062875	0.095288881
20	0.20736755	0.033840576
21	0.324120834	0.241559677
22	0.250385208	0.057575758
23	0.047588832	0.016902944
