tratto	data	cambiamento
1	2007-09-21	0.012
2	2007-09-21	0.016
3	2007-09-21	0.017
4	2007-09-21	0.019
5	2007-09-21	0.014
6	2007-09-21	0.005
7	2007-09-21	0.045
8	2007-09-21	0.03
9	2007-09-21	nan
10	2007-09-21	0.062
11	2007-09-21	0.129
12	2007-09-21	0.039
13	2007-09-21	0.049
14	2007-09-21	0.03
15	2007-09-21	0.025
16	2007-09-21	0.022
17	2007-09-21	0.023
18	2007-09-21	0.013
19	2007-09-21	0.032
20	2007-09-21	0.075
21	2007-09-21	0.059
22	2007-09-21	0.08
23	2007-09-21	0.04
1	2008-07-05	0.03
2	2008-07-05	0.011
3	2008-07-05	0.003
4	2008-07-05	0.017
5	2008-07-05	0.018
6	2008-07-05	0.012
7	2008-07-05	0.019
8	2008-07-05	0.017
9	2008-07-05	nan
10	2008-07-05	0.126
11	2008-07-05	0.103
12	2008-07-05	0.073
13	2008-07-05	0.036
14	2008-07-05	0.047
15	2008-07-05	0.064
16	2008-07-05	0.075
17	2008-07-05	0.1
18	2008-07-05	0.097
19	2008-07-05	0.16
20	2008-07-05	0.21
21	2008-07-05	0.0
22	2008-07-05	0.211
23	2008-07-05	0.049
1	2009-07-08	nan
2	2009-07-08	nan
3	2009-07-08	0.008
4	2009-07-08	0.039
5	2009-07-08	0.036
6	2009-07-08	0.017
7	2009-07-08	0.066
8	2009-07-08	0.042
9	2009-07-08	nan
10	2009-07-08	0.182
11	2009-07-08	0.194
12	2009-07-08	0.075
13	2009-07-08	0.055
14	2009-07-08	0.078
15	2009-07-08	0.082
16	2009-07-08	0.098
17	2009-07-08	0.109
18	2009-07-08	0.124
19	2009-07-08	0.206
20	2009-07-08	0.209
21	2009-07-08	0.175
22	2009-07-08	0.214
23	2009-07-08	0.045
1	2010-09-29	0.05
2	2010-09-29	0.048
3	2010-09-29	0.014
4	2010-09-29	0.026
5	2010-09-29	0.023
6	2010-09-29	0.01
7	2010-09-29	0.052
8	2010-09-29	0.029
9	2010-09-29	nan
10	2010-09-29	0.145
11	2010-09-29	0.125
12	2010-09-29	0.035
13	2010-09-29	0.02
14	2010-09-29	0.039
15	2010-09-29	0.043
16	2010-09-29	0.039
17	2010-09-29	0.051
18	2010-09-29	0.04
19	2010-09-29	0.143
20	2010-09-29	0.096
21	2010-09-29	0.116
22	2010-09-29	0.071
23	2010-09-29	0.007
1	2011-10-02	0.0
2	2011-10-02	0.0
3	2011-10-02	0.009
4	2011-10-02	0.009
5	2011-10-02	0.01
6	2011-10-02	0.009
7	2011-10-02	0.026
8	2011-10-02	0.016
9	2011-10-02	nan
10	2011-10-02	0.05
11	2011-10-02	0.058
12	2011-10-02	0.016
13	2011-10-02	0.018
14	2011-10-02	0.046
15	2011-10-02	0.019
16	2011-10-02	0.02
17	2011-10-02	0.013
18	2011-10-02	0.01
19	2011-10-02	0.067
20	2011-10-02	0.046
21	2011-10-02	0.045
22	2011-10-02	0.022
23	2011-10-02	0.001
1	2012-08-01	0.009
2	2012-08-01	0.016
3	2012-08-01	0.01
4	2012-08-01	0.012
5	2012-08-01	0.013
6	2012-08-01	0.019
7	2012-08-01	0.016
8	2012-08-01	0.013
9	2012-08-01	nan
10	2012-08-01	0.046
11	2012-08-01	0.044
12	2012-08-01	0.007
13	2012-08-01	0.014
14	2012-08-01	0.012
15	2012-08-01	0.006
16	2012-08-01	0.007
17	2012-08-01	0.008
18	2012-08-01	0.008
19	2012-08-01	0.01
20	2012-08-01	0.013
21	2012-08-01	0.026
22	2012-08-01	0.023
23	2012-08-01	0.002
1	2013-09-05	0.029
2	2013-09-05	0.048
3	2013-09-05	0.024
4	2013-09-05	0.041
5	2013-09-05	0.039
6	2013-09-05	0.034
7	2013-09-05	0.07
8	2013-09-05	0.048
9	2013-09-05	nan
10	2013-09-05	0.168
11	2013-09-05	0.113
12	2013-09-05	0.012
13	2013-09-05	0.04
14	2013-09-05	0.056
15	2013-09-05	0.022
16	2013-09-05	0.019
17	2013-09-05	0.033
18	2013-09-05	0.031
19	2013-09-05	0.064
20	2013-09-05	0.05
21	2013-09-05	0.132
22	2013-09-05	0.058
23	2013-09-05	0.005
1	2014-09-08	0.023
2	2014-09-08	0.034
3	2014-09-08	0.023
4	2014-09-08	0.029
5	2014-09-08	0.036
6	2014-09-08	0.034
7	2014-09-08	0.037
8	2014-09-08	0.028
9	2014-09-08	nan
10	2014-09-08	0.112
11	2014-09-08	0.067
12	2014-09-08	0.003
13	2014-09-08	0.02
14	2014-09-08	0.04
15	2014-09-08	0.011
16	2014-09-08	0.006
17	2014-09-08	0.021
18	2014-09-08	0.017
19	2014-09-08	0.035
20	2014-09-08	0.022
21	2014-09-08	0.11
22	2014-09-08	0.036
23	2014-09-08	0.017
1	2014-10-31	nan
2	2014-10-31	nan
3	2014-10-31	nan
4	2014-10-31	nan
5	2014-10-31	nan
6	2014-10-31	0.058
7	2014-10-31	0.03
8	2014-10-31	0.023
9	2014-10-31	nan
10	2014-10-31	0.101
11	2014-10-31	0.038
12	2014-10-31	0.002
13	2014-10-31	0.008
14	2014-10-31	0.018
15	2014-10-31	nan
16	2014-10-31	nan
17	2014-10-31	nan
18	2014-10-31	nan
19	2014-10-31	nan
20	2014-10-31	nan
21	2014-10-31	nan
22	2014-10-31	nan
23	2014-10-31	nan
1	2015-08-13	nan
2	2015-08-13	nan
3	2015-08-13	nan
4	2015-08-13	nan
5	2015-08-13	nan
6	2015-08-13	0.061
7	2015-08-13	0.016
8	2015-08-13	0.013
9	2015-08-13	nan
10	2015-08-13	0.051
11	2015-08-13	0.022
12	2015-08-13	0.003
13	2015-08-13	0.005
14	2015-08-13	0.005
15	2015-08-13	nan
16	2015-08-13	nan
17	2015-08-13	nan
18	2015-08-13	nan
19	2015-08-13	nan
20	2015-08-13	nan
21	2015-08-13	nan
22	2015-08-13	nan
23	2015-08-13	nan
1	2015-09-12	0.046
2	2015-09-12	0.043
3	2015-09-12	0.027
4	2015-09-12	0.031
5	2015-09-12	0.033
6	2015-09-12	0.058
7	2015-09-12	0.053
8	2015-09-12	0.049
9	2015-09-12	nan
10	2015-09-12	0.198
11	2015-09-12	0.149
12	2015-09-12	0.015
13	2015-09-12	0.032
14	2015-09-12	0.049
15	2015-09-12	0.006
16	2015-09-12	0.005
17	2015-09-12	0.011
18	2015-09-12	0.01
19	2015-09-12	0.02
20	2015-09-12	0.01
21	2015-09-12	0.047
22	2015-09-12	0.009
23	2015-09-12	0.026
1	2015-10-22	0.016
2	2015-10-22	0.005
3	2015-10-22	0.009
4	2015-10-22	0.008
5	2015-10-22	0.009
6	2015-10-22	0.03
7	2015-10-22	0.03
8	2015-10-22	0.034
9	2015-10-22	nan
10	2015-10-22	0.136
11	2015-10-22	0.116
12	2015-10-22	0.009
13	2015-10-22	0.024
14	2015-10-22	0.036
15	2015-10-22	0.014
16	2015-10-22	0.009
17	2015-10-22	0.012
18	2015-10-22	0.007
19	2015-10-22	0.016
20	2015-10-22	0.01
21	2015-10-22	0.023
22	2015-10-22	0.017
23	2015-10-22	0.011
1	2016-09-13	0.039
2	2016-09-13	0.013
3	2016-09-13	0.017
4	2016-09-13	0.01
5	2016-09-13	0.009
6	2016-09-13	0.044
7	2016-09-13	0.038
8	2016-09-13	0.04
9	2016-09-13	nan
10	2016-09-13	0.172
11	2016-09-13	0.131
12	2016-09-13	0.011
13	2016-09-13	0.024
14	2016-09-13	0.036
15	2016-09-13	0.01
16	2016-09-13	0.013
17	2016-09-13	0.011
18	2016-09-13	0.01
19	2016-09-13	0.015
20	2016-09-13	0.011
21	2016-09-13	0.021
22	2016-09-13	0.014
23	2016-09-13	0.017
1	2017-04-21	0.05
2	2017-04-21	0.051
3	2017-04-21	0.026
4	2017-04-21	0.015
5	2017-04-21	0.029
6	2017-04-21	0.039
7	2017-04-21	0.038
8	2017-04-21	0.042
9	2017-04-21	nan
10	2017-04-21	0.168
11	2017-04-21	0.141
12	2017-04-21	0.016
13	2017-04-21	0.024
14	2017-04-21	0.039
15	2017-04-21	0.018
16	2017-04-21	0.016
17	2017-04-21	0.016
18	2017-04-21	0.013
19	2017-04-21	0.021
20	2017-04-21	0.02
21	2017-04-21	0.057
22	2017-04-21	0.045
23	2017-04-21	0.017
1	2017-06-13	0.049
2	2017-06-13	0.054
3	2017-06-13	0.022
4	2017-06-13	0.012
5	2017-06-13	0.025
6	2017-06-13	0.027
7	2017-06-13	0.03
8	2017-06-13	0.031
9	2017-06-13	nan
10	2017-06-13	0.106
11	2017-06-13	0.066
12	2017-06-13	0.011
13	2017-06-13	0.011
14	2017-06-13	0.025
15	2017-06-13	0.013
16	2017-06-13	0.014
17	2017-06-13	0.013
18	2017-06-13	0.01
19	2017-06-13	0.027
20	2017-06-13	0.019
21	2017-06-13	0.045
22	2017-06-13	0.03
23	2017-06-13	0.012
