tratto	data	cambiamento
1	2007-09-21	0.003
2	2007-09-21	0.0
3	2007-09-21	0.0
4	2007-09-21	0.0
5	2007-09-21	0.0
6	2007-09-21	0.0
7	2007-09-21	0.001
8	2007-09-21	0.0
9	2007-09-21	nan
10	2007-09-21	0.001
11	2007-09-21	0.002
12	2007-09-21	0.0
13	2007-09-21	0.001
14	2007-09-21	0.013
15	2007-09-21	0.008
16	2007-09-21	0.003
17	2007-09-21	0.009
18	2007-09-21	0.022
19	2007-09-21	0.019
20	2007-09-21	0.012
21	2007-09-21	0.147
22	2007-09-21	0.005
23	2007-09-21	0.0
1	2008-07-05	0.007
2	2008-07-05	0.032
3	2008-07-05	0.004
4	2008-07-05	0.024
5	2008-07-05	0.011
6	2008-07-05	0.005
7	2008-07-05	0.065
8	2008-07-05	0.038
9	2008-07-05	nan
10	2008-07-05	0.07
11	2008-07-05	0.136
12	2008-07-05	0.004
13	2008-07-05	0.051
14	2008-07-05	0.03
15	2008-07-05	0.01
16	2008-07-05	0.016
17	2008-07-05	0.004
18	2008-07-05	0.021
19	2008-07-05	0.016
20	2008-07-05	0.006
21	2008-07-05	0.198
22	2008-07-05	0.02
23	2008-07-05	0.0
1	2009-07-08	nan
2	2009-07-08	nan
3	2009-07-08	0.002
4	2009-07-08	0.011
5	2009-07-08	0.004
6	2009-07-08	0.001
7	2009-07-08	0.035
8	2009-07-08	0.021
9	2009-07-08	nan
10	2009-07-08	0.018
11	2009-07-08	0.062
12	2009-07-08	0.0
13	2009-07-08	0.022
14	2009-07-08	0.014
15	2009-07-08	0.005
16	2009-07-08	0.004
17	2009-07-08	0.001
18	2009-07-08	0.001
19	2009-07-08	0.003
20	2009-07-08	0.001
21	2009-07-08	0.055
22	2009-07-08	0.005
23	2009-07-08	0.0
1	2010-09-29	0.001
2	2010-09-29	0.008
3	2010-09-29	0.0
4	2010-09-29	0.018
5	2010-09-29	0.006
6	2010-09-29	0.002
7	2010-09-29	0.039
8	2010-09-29	0.024
9	2010-09-29	nan
10	2010-09-29	0.034
11	2010-09-29	0.089
12	2010-09-29	0.008
13	2010-09-29	0.029
14	2010-09-29	0.041
15	2010-09-29	0.012
16	2010-09-29	0.007
17	2010-09-29	0.004
18	2010-09-29	0.01
19	2010-09-29	0.041
20	2010-09-29	0.024
21	2010-09-29	0.045
22	2010-09-29	0.022
23	2010-09-29	0.001
1	2011-10-02	0.045
2	2011-10-02	0.033
3	2011-10-02	0.005
4	2011-10-02	0.021
5	2011-10-02	0.017
6	2011-10-02	0.008
7	2011-10-02	0.037
8	2011-10-02	0.025
9	2011-10-02	nan
10	2011-10-02	0.116
11	2011-10-02	0.111
12	2011-10-02	0.021
13	2011-10-02	0.023
14	2011-10-02	0.038
15	2011-10-02	0.039
16	2011-10-02	0.022
17	2011-10-02	0.031
18	2011-10-02	0.024
19	2011-10-02	0.108
20	2011-10-02	0.06
21	2011-10-02	0.085
22	2011-10-02	0.054
23	2011-10-02	0.005
1	2012-08-01	0.025
2	2012-08-01	0.039
3	2012-08-01	0.014
4	2012-08-01	0.025
5	2012-08-01	0.024
6	2012-08-01	0.019
7	2012-08-01	0.053
8	2012-08-01	0.041
9	2012-08-01	nan
10	2012-08-01	0.222
11	2012-08-01	0.151
12	2012-08-01	0.011
13	2012-08-01	0.039
14	2012-08-01	0.054
15	2012-08-01	0.037
16	2012-08-01	0.029
17	2012-08-01	0.036
18	2012-08-01	0.021
19	2012-08-01	0.104
20	2012-08-01	0.077
21	2012-08-01	0.154
22	2012-08-01	0.055
23	2012-08-01	0.001
1	2013-09-05	0.005
2	2013-09-05	0.012
3	2013-09-05	0.003
4	2013-09-05	0.013
5	2013-09-05	0.007
6	2013-09-05	0.005
7	2013-09-05	0.017
8	2013-09-05	0.019
9	2013-09-05	nan
10	2013-09-05	0.118
11	2013-09-05	0.098
12	2013-09-05	0.007
13	2013-09-05	0.023
14	2013-09-05	0.039
15	2013-09-05	0.025
16	2013-09-05	0.018
17	2013-09-05	0.012
18	2013-09-05	0.01
19	2013-09-05	0.068
20	2013-09-05	0.045
21	2013-09-05	0.095
22	2013-09-05	0.035
23	2013-09-05	0.002
1	2014-09-08	0.003
2	2014-09-08	0.003
3	2014-09-08	0.004
4	2014-09-08	0.002
5	2014-09-08	0.003
6	2014-09-08	0.008
7	2014-09-08	0.006
8	2014-09-08	0.013
9	2014-09-08	nan
10	2014-09-08	0.07
11	2014-09-08	0.063
12	2014-09-08	0.004
13	2014-09-08	0.014
14	2014-09-08	0.031
15	2014-09-08	0.006
16	2014-09-08	0.008
17	2014-09-08	0.003
18	2014-09-08	0.004
19	2014-09-08	0.019
20	2014-09-08	0.014
21	2014-09-08	0.037
22	2014-09-08	0.011
23	2014-09-08	0.0
1	2014-10-31	nan
2	2014-10-31	nan
3	2014-10-31	nan
4	2014-10-31	nan
5	2014-10-31	nan
6	2014-10-31	0.01
7	2014-10-31	0.011
8	2014-10-31	0.021
9	2014-10-31	nan
