tratto	data	cambiamento
1	2007-09-21	0.0
2	2007-09-21	0.001
3	2007-09-21	0.011
4	2007-09-21	0.005
5	2007-09-21	0.001
6	2007-09-21	0.0
7	2007-09-21	0.019
8	2007-09-21	0.005
9	2007-09-21	nan
10	2007-09-21	0.0
11	2007-09-21	0.045
12	2007-09-21	0.0
13	2007-09-21	0.003
14	2007-09-21	0.018
15	2007-09-21	0.071
16	2007-09-21	0.015
17	2007-09-21	0.002
18	2007-09-21	0.017
19	2007-09-21	0.065
20	2007-09-21	0.004
21	2007-09-21	0.0
22	2007-09-21	0.023
23	2007-09-21	0.0
1	2008-07-05	0.0
2	2008-07-05	0.004
3	2008-07-05	0.003
4	2008-07-05	0.008
5	2008-07-05	0.001
6	2008-07-05	0.0
7	2008-07-05	0.029
8	2008-07-05	0.007
9	2008-07-05	nan
10	2008-07-05	0.0
11	2008-07-05	0.06
12	2008-07-05	0.0
13	2008-07-05	0.003
14	2008-07-05	0.03
15	2008-07-05	0.059
16	2008-07-05	0.02
17	2008-07-05	0.0
18	2008-07-05	0.025
19	2008-07-05	0.052
20	2008-07-05	0.001
21	2008-07-05	0.148
22	2008-07-05	0.025
23	2008-07-05	0.0
1	2009-07-08	nan
2	2009-07-08	nan
3	2009-07-08	0.0
4	2009-07-08	0.005
5	2009-07-08	0.0
6	2009-07-08	0.0
7	2009-07-08	0.018
8	2009-07-08	0.004
9	2009-07-08	nan
10	2009-07-08	0.0
11	2009-07-08	0.032
12	2009-07-08	0.0
13	2009-07-08	0.002
14	2009-07-08	0.02
15	2009-07-08	0.042
16	2009-07-08	0.007
17	2009-07-08	0.001
18	2009-07-08	0.015
19	2009-07-08	0.034
20	2009-07-08	0.001
21	2009-07-08	0.087
22	2009-07-08	0.009
23	2009-07-08	0.0
1	2010-09-29	0.0
2	2010-09-29	0.0
3	2010-09-29	0.0
4	2010-09-29	0.005
5	2010-09-29	0.0
6	2010-09-29	0.0
7	2010-09-29	0.021
8	2010-09-29	0.005
9	2010-09-29	nan
10	2010-09-29	0.0
11	2010-09-29	0.04
12	2010-09-29	0.0
13	2010-09-29	0.001
14	2010-09-29	0.029
15	2010-09-29	0.036
16	2010-09-29	0.009
17	2010-09-29	0.001
18	2010-09-29	0.013
19	2010-09-29	0.025
20	2010-09-29	0.002
21	2010-09-29	0.079
22	2010-09-29	0.01
23	2010-09-29	0.0
1	2011-10-02	0.0
2	2011-10-02	0.007
3	2011-10-02	0.0
4	2011-10-02	0.015
5	2011-10-02	0.003
6	2011-10-02	0.002
7	2011-10-02	0.044
8	2011-10-02	0.016
9	2011-10-02	nan
10	2011-10-02	0.018
11	2011-10-02	0.097
12	2011-10-02	0.0
13	2011-10-02	0.013
14	2011-10-02	0.028
15	2011-10-02	0.032
16	2011-10-02	0.008
17	2011-10-02	0.001
18	2011-10-02	0.011
19	2011-10-02	0.017
20	2011-10-02	0.001
21	2011-10-02	0.102
22	2011-10-02	0.012
23	2011-10-02	0.0
1	2012-08-01	0.001
2	2012-08-01	0.01
3	2012-08-01	0.0
4	2012-08-01	0.019
5	2012-08-01	0.007
6	2012-08-01	0.003
7	2012-08-01	0.065
8	2012-08-01	0.028
9	2012-08-01	nan
10	2012-08-01	0.046
11	2012-08-01	0.119
12	2012-08-01	0.005
13	2012-08-01	0.027
14	2012-08-01	0.054
15	2012-08-01	0.038
16	2012-08-01	0.012
17	2012-08-01	0.006
18	2012-08-01	0.024
19	2012-08-01	0.057
20	2012-08-01	0.012
21	2012-08-01	0.132
22	2012-08-01	0.029
23	2012-08-01	0.001
1	2013-09-05	0.0
2	2013-09-05	0.004
3	2013-09-05	0.0
4	2013-09-05	0.004
5	2013-09-05	0.003
6	2013-09-05	0.001
7	2013-09-05	0.039
8	2013-09-05	0.013
9	2013-09-05	nan
10	2013-09-05	0.024
11	2013-09-05	0.088
12	2013-09-05	0.003
13	2013-09-05	0.015
14	2013-09-05	0.029
15	2013-09-05	0.033
16	2013-09-05	0.008
17	2013-09-05	0.002
18	2013-09-05	0.012
19	2013-09-05	0.038
20	2013-09-05	0.007
21	2013-09-05	0.085
22	2013-09-05	0.02
23	2013-09-05	0.001
1	2014-09-08	0.0
2	2014-09-08	0.024
3	2014-09-08	0.004
4	2014-09-08	0.012
5	2014-09-08	0.007
6	2014-09-08	0.007
7	2014-09-08	0.05
8	2014-09-08	0.03
9	2014-09-08	nan
10	2014-09-08	0.14
11	2014-09-08	0.161
12	2014-09-08	0.006
13	2014-09-08	0.026
14	2014-09-08	0.042
15	2014-09-08	0.044
16	2014-09-08	0.014
17	2014-09-08	0.01
18	2014-09-08	0.016
19	2014-09-08	0.088
20	2014-09-08	0.027
21	2014-09-08	0.16
22	2014-09-08	0.036
23	2014-09-08	0.003
1	2014-10-31	nan
2	2014-10-31	nan
3	2014-10-31	nan
4	2014-10-31	nan
5	2014-10-31	nan
6	2014-10-31	0.006
7	2014-10-31	0.041
8	2014-10-31	0.025
9	2014-10-31	nan
10	2014-10-31	0.121
11	2014-10-31	0.156
12	2014-10-31	0.008
13	2014-10-31	0.027
14	2014-10-31	0.049
15	2014-10-31	nan
16	2014-10-31	nan
17	2014-10-31	nan
18	2014-10-31	nan
19	2014-10-31	nan
20	2014-10-31	nan
21	2014-10-31	nan
22	2014-10-31	nan
23	2014-10-31	nan
1	2015-08-13	nan
2	2015-08-13	nan
3	2015-08-13	nan
4	2015-08-13	nan
5	2015-08-13	nan
6	2015-08-13	0.012
7	2015-08-13	0.06
8	2015-08-13	0.035
9	2015-08-13	nan
10	2015-08-13	0.156
11	2015-08-13	0.192
12	2015-08-13	0.017
13	2015-08-13	0.039
14	2015-08-13	0.059
15	2015-08-13	nan
16	2015-08-13	nan
17	2015-08-13	nan
18	2015-08-13	nan
19	2015-08-13	nan
20	2015-08-13	nan
21	2015-08-13	nan
22	2015-08-13	nan
23	2015-08-13	nan
1	2015-09-12	0.001
2	2015-09-12	0.011
3	2015-09-12	0.003
4	2015-09-12	0.009
5	2015-09-12	0.006
6	2015-09-12	0.001
7	2015-09-12	0.03
