tratto	data	rapp_isl
1	2000-09-17	0.02128904
2	2000-09-17	0.024325968
3	2000-09-17	0.038567765
4	2000-09-17	0.033665559
5	2000-09-17	0.017475552
6	2000-09-17	0.009472104
7	2000-09-17	0.066848083
8	2000-09-17	0.023727075
9	2000-09-17	nan
10	2000-09-17	0
11	2000-09-17	0.01557377
12	2000-09-17	0.00081103
13	2000-09-17	0.027092698
14	2000-09-17	0.023555691
15	2000-09-17	0.216617654
16	2000-09-17	0.128404442
17	2000-09-17	0.159751565
18	2000-09-17	0.021573094
19	2000-09-17	0.185668092
20	2000-09-17	0.008372093
21	2000-09-17	0.181523501
22	2000-09-17	nan
23	2000-09-17	nan
1	2001-06-07	nan
2	2001-06-07	nan
3	2001-06-07	0.029253731
4	2001-06-07	0.030006523
5	2001-06-07	0.005322398
6	2001-06-07	0.001459362
7	2001-06-07	0.052369641
8	2001-06-07	nan
9	2001-06-07	nan
10	2001-06-07	nan
11	2001-06-07	nan
12	2001-06-07	nan
13	2001-06-07	nan
14	2001-06-07	nan
15	2001-06-07	nan
16	2001-06-07	nan
17	2001-06-07	nan
18	2001-06-07	nan
19	2001-06-07	nan
20	2001-06-07	nan
21	2001-06-07	0.167140152
22	2001-06-07	0.05157254
23	2001-06-07	0.03405346
1	2002-05-18	0.010558423
2	2002-05-18	0.023225417
3	2002-05-18	nan
4	2002-05-18	nan
5	2002-05-18	nan
6	2002-05-18	0.003337937
7	2002-05-18	0.060157229
8	2002-05-18	0.01840823
9	2002-05-18	nan
10	2002-05-18	0.014344262
11	2002-05-18	0.118763071
12	2002-05-18	0.036019811
13	2002-05-18	0.048094374
14	2002-05-18	nan
15	2002-05-18	nan
16	2002-05-18	nan
17	2002-05-18	nan
18	2002-05-18	nan
19	2002-05-18	nan
20	2002-05-18	nan
21	2002-05-18	nan
22	2002-05-18	nan
23	2002-05-18	nan
1	2002-06-12	nan
2	2002-06-12	nan
3	2002-06-12	nan
4	2002-06-12	nan
5	2002-06-12	nan
6	2002-06-12	nan
7	2002-06-12	nan
8	2002-06-12	nan
9	2002-06-12	nan
10	2002-06-12	nan
11	2002-06-12	nan
12	2002-06-12	nan
13	2002-06-12	nan
14	2002-06-12	0.026274795
15	2002-06-12	0.286190794
16	2002-06-12	0.128505502
17	2002-06-12	0.15941224
18	2002-06-12	0.027574264
19	2002-06-12	0.149787234
20	2002-06-12	0.010268883
21	2002-06-12	0.18272
22	2002-06-12	0.062680974
23	2002-06-12	0.032474804
1	2003-06-22	0.005955725
2	2003-06-22	0.009466437
3	2003-06-22	0.02625527
4	2003-06-22	0.027935399
5	2003-06-22	0.00591819
6	2003-06-22	0.003952135
7	2003-06-22	0.048982331
8	2003-06-22	0.016697104
9	2003-06-22	nan
10	2003-06-22	0.013034033
11	2003-06-22	nan
12	2003-06-22	nan
13	2003-06-22	0.029831218
14	2003-06-22	0.033043113
15	2003-06-22	0.289808421
16	2003-06-22	0.117004217
17	2003-06-22	0.1283935
18	2003-06-22	0.022332191
19	2003-06-22	0.062016326
20	2003-06-22	0.006879543
21	2003-06-22	0.159577025
22	2003-06-22	0.05147541
23	2003-06-22	0.040301318
1	2004-10-14	nan
2	2004-10-14	0.0025
3	2004-10-14	0.018897066
4	2004-10-14	0.022311092
5	2004-10-14	0.00209205
6	2004-10-14	0.02647488
7	2004-10-14	0.036767944
8	2004-10-14	0.012757732
9	2004-10-14	nan
10	2004-10-14	0.006543826
11	2004-10-14	0.051006149
12	2004-10-14	0.001155179
13	2004-10-14	0.017779436
14	2004-10-14	0.023471783
15	2004-10-14	0.089908492
16	2004-10-14	0.095938334
17	2004-10-14	0.0133579
18	2004-10-14	0.026669567
19	2004-10-14	0.050315115
20	2004-10-14	0.009192128
21	2004-10-14	0.130303751
22	2004-10-14	0.024508223
23	2004-10-14	0.03488786
1	2005-08-30	0.006788098
2	2005-08-30	0.011853246
3	2005-08-30	0.018600531
4	2005-08-30	0.034678299
5	2005-08-30	0.005572971
6	2005-08-30	0.002472188
7	2005-08-30	0.057854968
8	2005-08-30	0.026225619
