RI<1yr_x	RI<1yr_y	RI=1.2yr_x	RI=1.2yr_y	RI=2.5yr_x	RI=2.5yr_y	Eq_RI<1yr_x	Eq_RI<1yr_y	Eq_RI=1.2yr_x	Eq_RI=1.2yr_y	Eq_RI=2.5yr_x	Eq_RI=2.5yr_y
0.316326531	3.213114754	0.176870748	3.198675497	0.065753425	3.752442997	0.319682811	4.897521742	0.181185691	4.437031237	0.067046209	3.763109805
0.380952381	3.763934426	0.221088435	3.708609272	0.084246575	3.179153094	0.371189095	5.329688937	0.234827103	4.993263934	0.110143147	4.335460783
0.472789116	4.86557377	0.431972789	4.867549669	0.186986301	4.899022801	0.408362516	5.70331991	0.281076067	5.461534643	0.132965475	4.702946273
0.785714286	7.252459016	0.602040816	7.278145695	0.21369863	7.19218241	0.44088926	6.071180018	0.316855485	5.856643337	0.159267441	5.157025939
0.370748299	10.00655738	0.24829932	10.01324503	0.289726027	12.56026059	0.489606771	6.654217269	0.343418992	6.214112379	0.189970125	5.760545366
0.581632653	12.53114754	0.493197279	11.58940397	0.468493151	11.62214984	0.526909199	7.085928698	0.387601153	6.761722398	0.218523622	6.337328234
0.595238095	11.61311475	0.513605442	12.51655629	nan	nan	0.573163563	7.65900371	0.428462875	7.402176976	0.245541984	6.935147702
nan	nan	nan	nan	nan	nan	0.613106751	8.241985604	0.468104843	8.042954691	0.273788453	7.63317721
nan	nan	nan	nan	nan	nan	0.658070441	8.952994895	0.512829116	8.807771361	0.297122493	8.333376439
nan	nan	nan	nan	nan	nan	0.696082709	9.589702572	0.543322938	9.367139314	0.321192381	9.036942017
nan	nan	nan	nan	nan	nan	0.731150604	10.20583442	0.570654438	9.971998412	0.347474895	9.919508061
nan	nan	nan	nan	nan	nan	0.757444177	10.74780765	0.599093872	10.51554736	0.369702622	10.64710589
nan	nan	nan	nan	nan	nan	0.782382468	11.22555684	nan	nan	0.384647982	11.25062532
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.400283511	11.89120431
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.421297793	12.70022563
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.44007419	13.61797894
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.454729604	14.33441491
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.46774822	14.95019464
