integrale_piene	giov_tr_1	giov_tr_2	giov_tr_3	giov_tr_4	giov_tr_5	giov_tr_6	giov_tr_7	giov_tr_8	giov_tr_9	giov_tr_10	giov_tr_11	giov_tr_12	giov_tr_13	giov_tr_14	giov_tr_15	giov_tr_16	giov_tr_17	giov_tr_18	giov_tr_19	giov_tr_20	giov_tr_21	giov_tr_22	giov_tr_23	int_tr_1	int_tr_2	int_tr_3	int_tr_4	int_tr_5	int_tr_6	int_tr_7	int_tr_8	int_tr_9	int_tr_10	int_tr_11	int_tr_12	int_tr_13	int_tr_14	int_tr_15	int_tr_16	int_tr_17	int_tr_18	int_tr_19	int_tr_20	int_tr_21	int_tr_22	int_tr_23	mat_tr_1	mat_tr_2	mat_tr_3	mat_tr_4	mat_tr_5	mat_tr_6	mat_tr_7	mat_tr_8	mat_tr_9	mat_tr_10	mat_tr_11	mat_tr_12	mat_tr_13	mat_tr_14	mat_tr_15	mat_tr_16	mat_tr_17	mat_tr_18	mat_tr_19	mat_tr_20	mat_tr_21	mat_tr_22	mat_tr_23
nan	0.104071	0.121208	0.64135	0	0.0352254	0.00942435	0.0477047	0	nan	0.00283701	0.0426161	0.0868328	0.168129	0.071457	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.0595019	0.121795	0.0191271	0.0600137	0	0.00717813	0.0347423	nan	0.00510163	0.026877	0.324176	0.110763	0.03844	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	nan	0	0	nan	nan	0	nan	0.180312	0.013888	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0132449	0.0294448	0.0388946	0.0426443	0.0556641	0.0453751	nan	0.0210186	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0821186	0.0455877	0	0.0140191	0	0	0.0643949	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0287128	0	nan	0.0296832	0.040606	0	0.0591879	0	nan
0.1841354	nan	nan	0.305065	0.348026	0.373981	0.679443	0.382197	0.346724	nan	0.347338	0.433193	0.603261	0.632698	0.537225	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0.0458751	0	0.124819	0.250765	nan	0.0286627	0.0384526	nan	0.333273	0.22897	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	nan	0.0253715	0	nan	nan	0.0045788	nan	0.667461	0.010478	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.1841354	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.496709	0.714289	0.609975	0.670099	0.418511	0.602244	0.450529	0.659338	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.444244	0.456316	0.08106	0.139675	0.217787	0.518635	0.27048	0.287485	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.287147	0.108647	0	0.0421707	0.353605	0	0.197821	0.057129	nan
0.3489843	0.235864	0.413759	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.164849	nan	nan	0.127551	0.216764	0.226182	0.104951	0.177437	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.0268009	0.16201	0	0.109578	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.164849	nan	nan	nan	nan	nan	nan	nan	0.150095	nan	0.125986	0.105715	0.255061	0.0435127	0.0670956	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.114612	nan	0.0307324	0.030549	0.266272	0.118223	0.025603	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.117316	nan	nan	0.0227905	nan	0.17405	0.0143979	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.164849	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.104828	0.20486	0.246007	0.432192	0.114331	0.161214	0.127813	0.282856	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0953326	0.0720075	0.0884043	0.207814	0.0241425	0.145716	0.0579574	0.133545	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0306874	0.0972568	0	0.113906	0.0988693	0.151544	0.0494787	0.0953895	nan
0.2180159	nan	nan	0.482103	0.396686	0.230036	0.14167	0.363083	0.336151	nan	0.187268	0.230328	0.721745	0.239142	0.411516	0.635532	0.466739	0.717548	0.639753	0.662662	0.533337	0.365782	0.522192	nan	0.374598	0.457449	0.0614262	0.0410365	0.151578	0.0467713	0.361954	0.202448	nan	0.0781335	0.101391	0.481163	0.0611876	0.182847	0.119582	0.288758	0.516839	0.414503	0.320637	0.322769	0.123378	0.208814	nan	0.834211	0.399684	nan	0.0575835	0.11228	0	0.0554738	0.271157	nan	0	0.0920779	nan	0.0890648	0.0109271	0.103596	0.0879727	0.091994	0.144805	0.0750298	0.182619	0.139794	0.0267082	nan
nan	0.0865999	0.0437898	0.0272232	0	0.0233708	0.0151144	0.0471181	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0613192	0.0116773	0.0181488	0.00998412	0	0.0146825	0.123388	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	0.0923703	0	0.00692677	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	0.0574882	nan	0.0265778	0.031926	0.0578512	0.037788	0	0.0883957	0.127736	0.0461402	0.063605	0.0472038	0.0137498	0.0468575	0.0450067	nan	nan	nan	nan	nan	nan	nan	nan	0.0249233	nan	0.00397147	0.0720283	0.0374332	0.0130805	0.0158717	0.0178139	0.0892872	0.0416487	0.0208431	0.0115624	0.0046584	0.0147728	0.02254	nan	nan	nan	nan	nan	nan	nan	nan	0.027953	nan	0	0.0119183	0	0.0527966	0	0.0192802	0.0409821	0	0.0241061	0.00631836	0.045669	0.00864805	0.0121119	nan
0.7561409	0.502624	0.606674	0.466495	0.598896	0.468017	0.552011	0.557226	0.52687	nan	0.440751	0.275864	0.654321	0.472957	0.327628	0.516682	0.643781	0.432587	0.514461	0.492921	0.524866	0.231591	0.381908	nan	0.849929	0.153315	0.172521	0.502863	0.275089	0.317247	0.406361	0.143779	nan	0.139194	0.115306	0.306713	0.133259	0.180722	0.202846	0.299691	0.266634	0.354537	0.184706	0.350677	0.0563528	0.113115	nan	nan	0.290941	0	0.399264	0.449573	0.190349	0.134698	0.131469	nan	0.0570158	0.0563322	0	0.250795	0.0407782	0.203589	0.205098	0.387241	0.196128	0.033686	0.399497	0.0681651	0.34486	nan
