data_ini	data_fine	is->alv	alv->is
2000-09-17	2001-06-07	nan	nan
2000-09-17	2001-06-07	nan	nan
2000-09-17	2002-05-18	nan	nan
2000-09-17	2002-05-18	nan	nan
2000-09-17	2002-06-12	0.112811	0.134162
2001-06-07	2002-05-18	nan	nan
2001-06-07	2003-06-22	nan	nan
2001-06-07	2002-06-12	nan	nan
2002-05-18	2002-06-12	nan	nan
2002-05-18	2003-06-22	nan	nan
2002-05-18	2003-06-22	nan	nan
2002-05-18	2003-06-22	nan	nan
2002-05-18	2004-10-14	nan	nan
2002-06-12	2003-06-22	0.193221	0.0323092
2003-06-22	2004-10-14	nan	nan
2003-06-22	2004-10-14	nan	nan
2003-06-22	2004-10-14	0.0488822	0.0413035
2003-06-22	2005-08-30	nan	nan
2004-10-14	2005-08-30	0.12931	1.06034
2005-08-30	2006-07-16	nan	nan
2005-08-30	2006-07-16	0.409938	0.0807453
2005-08-30	2006-07-16	nan	nan
2005-08-30	2007-09-21	nan	nan
2006-07-16	2007-09-21	nan	nan
2006-07-16	2007-09-21	nan	nan
2006-07-16	2007-09-21	0.195122	1.61789
2006-07-16	2007-09-21	nan	nan
2006-07-16	2007-09-21	nan	nan
2007-09-21	2008-07-05	nan	nan
2007-09-21	2008-07-05	0.123752	2.36128
2008-07-05	2009-07-08	nan	nan
2008-07-05	2009-07-08	0.671044	0.118824
2008-07-05	2010-09-29	nan	nan
2009-07-08	2010-09-29	nan	nan
2009-07-08	2010-09-29	nan	nan
2009-07-08	2010-09-29	0.300847	0.262712
2010-09-29	2011-10-02	0.613221	0.0520394
2011-10-02	2012-08-01	nan	nan
2011-10-02	2012-08-01	0.0887574	1.47337
2012-08-01	2013-09-05	0.396129	0.0683871
2013-09-05	2014-09-08	0.200828	0.252588
2014-09-08	2014-10-31	nan	nan
2014-09-08	2015-09-12	nan	nan
2014-09-08	2015-09-12	0.245283	0.492662
2014-10-31	2015-08-13	nan	nan
2015-08-13	2015-09-12	nan	nan
2015-09-12	2015-10-22	0.151852	0.0712963
2015-10-22	2016-09-13	0.230303	0.30404
2016-09-13	2017-04-21	0.20566	0.0858491
2017-04-21	2017-06-13	0.256966	0.105263
2017-06-13	2018-06-15	nan	nan
2017-06-13	2018-09-16	nan	nan
2017-06-13	2018-09-16	0.192308	0.864764
2018-06-15	2018-09-16	nan	nan
